@relation WekaExcel

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute x55 numeric
@attribute x56 numeric
@attribute x57 numeric
@attribute x58 numeric
@attribute x59 numeric
@attribute x60 numeric
@attribute x61 numeric
@attribute x62 numeric
@attribute x63 numeric
@attribute x64 numeric
@attribute x65 numeric
@attribute x66 numeric
@attribute x67 numeric
@attribute x68 numeric
@attribute x69 numeric
@attribute x70 numeric
@attribute x71 numeric
@attribute x72 numeric
@attribute x73 numeric
@attribute x74 numeric
@attribute x75 numeric
@attribute x76 numeric
@attribute x77 numeric
@attribute x78 numeric
@attribute x79 numeric
@attribute x80 numeric
@attribute x81 numeric
@attribute x82 numeric
@attribute x83 numeric
@attribute x84 numeric
@attribute x85 numeric
@attribute x86 numeric
@attribute x87 numeric
@attribute x88 numeric
@attribute x89 numeric
@attribute x90 numeric
@attribute x91 numeric
@attribute x92 numeric
@attribute x93 numeric
@attribute x94 numeric
@attribute x95 numeric
@attribute x96 numeric
@attribute x97 numeric
@attribute x98 numeric
@attribute x99 numeric
@attribute x100 numeric
@attribute y {-1,1}

@data
9.10717,0.024946,0.024302,17.448813,9.107536,0.068659,0.19388,0.009789,5.518669,6.032206,95.317373,4.7761,11.09188,14.013638,0.116723,72.0565,0.024293,0.173315,0.135781,0.036188,0.222978,0.155589,0.004424,0.985578,0.007486,0.533129,0.00416,49.9822,53.417079,103.909146,45.971574,52.73725,24.233645,3.193881,2.2665,1746.475598,55.76416,9.785005,0.800122,0.066476,0.015628,1.183317,0.049788,4.75153,8.835043,0.630925,29.520957,0.790568,0.787431,2.967616,74.207441,5.970141,92.542606,1.232154,77.423987,6.14044,0.341506,0.204712,8.698496,0.046782,4.978589,317.196858,375.042217,123.341685,30.702258,49.896237,17.62489,2.258524,19.768977,22.785688,12.09805,12.768738,11.4464,0.06234,2.594032,3.99952,86.87309,0.123227,30.341359,51.936987,0.064722,97.633695,7.699319,62.240493,77.545314,0.234803,0.110419,104.151428,59.552769,1.447346,0.511736,0.227979,0.063651,9.555407,10.110602,0.783864,0.023167,20.532833,44.65852,0.148481,1
10.181254,0.028547,0.02863,15.372765,10.181993,0.036255,0.191581,0.010187,5.586143,6.08678,95.10535,4.757444,12.1189,15.27696,0.107884,72.863,0.017768,0.216674,0.148273,0.028483,0.178882,0.077878,0.003055,0.936585,0.007111,0.556263,0.001201,47.449743,55.533133,73.69895,46.9305,54.401157,20.577557,3.521924,2.427151,1805.63,53.504667,9.76371,0.817873,0.068763,0.017668,1.16175,0.061281,5.05488,8.932558,0.68587,37.01735,0.965054,0.801464,2.85454,77.036897,6.180915,98.7951,1.743275,76.5186,5.80233,0.354998,0.168563,8.652464,0.050318,5.034863,288.256005,375.574014,125.064638,29.973803,56.400762,22.169584,2.174253,24.804734,28.276097,9.58535,10.2622,11.356395,0.065833,2.498506,4.52814,88.0173,0.115903,29.82195,52.213771,0.050779,98.5269,7.51803,62.5006,77.9958,0.201248,0.125287,80.13338,61.388271,1.54512,0.49363,0.227238,0.055328,9.244335,6.623508,0.79381,0.021612,19.477329,43.55865,0.398102,1
11.491714,0.032153,0.027076,15.5822,11.491829,0.440928,0.154916,0.007497,5.654,5.174431,94.841964,4.85355,12.24,15.43203,0.102685,71.409,0.042378,0.145916,0.146972,0.001605,0.313398,0.117123,0.007803,1.03175,0.007823,0.584186,0.004314,50.143371,54.909567,102.077029,46.357786,54.311657,24.691471,3.987859,2.87774,1794.89,53.74765,10.450445,0.77075,0.07574,0.015934,1.231417,0.055765,4.597744,8.10522,0.669682,35.943071,1.021919,0.7819,2.798951,77.54025,7.01409,90.37915,1.27637,77.4053,5.43778,0.237091,0.127147,10.825934,0.051134,5.688627,308.278367,390.906431,124.7845,29.2574,64.207212,22.481386,2.344796,23.647953,29.021173,12.2266,12.9659,15.2043,0.067854,2.685352,4.68369,88.9147,0.044066,29.54785,54.748986,0.041736,98.3052,7.359608,64.6661,81.8929,0.235221,0.125017,87.3333,71.033586,1.63478,0.527637,0.239378,0.094336,9.223407,3.995015,0.799626,0.032633,17.807786,42.762529,0.112411,1
10.083141,0.034217,0.028533,14.503529,10.084123,0.091172,0.152194,0.01144,5.658286,5.751469,93.687704,4.808317,12.7647,16.12732,0.057967,71.568,0.051732,0.176021,0.127648,0.0497,0.153338,0.116654,0.004603,1.320856,0.010028,0.47807,0.004195,51.511586,54.974771,86.907771,49.351429,54.057243,24.209771,3.769291,2.877541,1783.26,52.535797,10.29713,0.828257,0.075686,0.01606,1.047916,0.084512,4.855029,9.806259,0.654417,34.3959,0.741751,0.80243,2.916743,71.951429,6.605713,89.0533,1.488148,79.8343,7.07181,0.332639,0.19467,7.197403,0.046837,5.052643,320.1368,443.879571,123.385429,28.963143,57.631758,16.7478,1.681226,19.294808,22.086545,9.1518,9.56805,11.2702,0.056659,2.943871,2.6863,56.5728,0.105028,28.996686,51.893514,0.052925,97.5308,7.53709,64.1098,81.046,0.277928,0.118179,116.476143,68.249357,1.581646,0.763719,0.276657,0.129448,9.221841,17.227308,0.799976,0.022257,18.215314,43.447457,0.755512,1
11.279186,0.033147,0.030642,15.758586,11.278857,0.4726,0.160654,0.014064,5.666,5.802756,94.596375,4.772344,10.7964,13.65623,0.079766,68.2168,0.026059,0.189681,0.1138,0.045193,0.170637,0.113707,0.002169,0.871636,0.006608,0.622602,0.004235,51.383814,55.044986,99.380757,46.959214,51.9902,24.343729,3.954866,2.606136,1783.27,53.043283,10.698071,0.742657,0.078171,0.016499,1.184173,0.09042,4.8935,8.305642,0.661576,31.509686,0.89434,0.789713,2.842167,64.855171,6.549597,96.5401,1.421167,75.2879,8.27382,0.247098,0.125906,5.161543,0.04869,5.62921,295.920459,389.071143,122.878333,28.571529,62.928574,18.931614,1.900489,20.925311,24.935153,9.74323,10.2995,11.178,0.052406,3.49956,2.9889,89.5168,0.079599,28.788629,53.375971,0.05793,98.3155,7.4746,64.061,79.6757,0.222998,0.105371,173.762,73.100829,1.53422,0.611821,0.37105,0.070357,9.284015,4.572077,0.796321,0.024746,18.113183,44.957071,0.321835,1
9.825379,0.019491,0.027911,16.808057,9.821899,0.05681,0.182023,0.009456,5.745429,5.294407,95.343804,4.719511,11.8098,14.94231,0.082456,72.0451,0.012816,0.210051,0.097598,0.019299,0.177931,0.098317,0.001699,0.834158,0.006324,0.579372,0.005672,51.1768,54.997771,75.875186,45.981786,51.963057,24.772986,3.021509,2.522957,1786.42,55.375201,10.959914,0.743129,0.0797,0.015787,1.184827,0.074629,4.630644,7.316907,0.66627,36.101114,0.793171,0.784473,2.57201,65.562943,7.208341,88.23,1.691549,75.8049,8.51652,0.261851,0.13896,6.612183,0.042987,4.563973,314.169036,362.666833,123.695278,28.977457,54.253663,18.150114,1.822254,19.168941,23.069779,9.55249,10.2227,11.0369,0.046842,2.874241,2.3244,61.6621,0.114638,28.119386,52.075314,0.040159,97.5411,7.75722,62.4045,77.8488,0.192787,0.114176,99.6189,58.8824,1.36716,0.851992,0.412545,0.050016,9.496755,18.027353,0.795589,0.02432,27.094571,44.8039,0.558258,1
7.381,0.016385,0.019195,16.261929,7.377679,0.123002,0.192865,0.008956,5.529571,5.111749,95.645028,4.736167,11.2166,14.13259,0.088348,67.3648,0.005359,0.214312,0.13252,0.011252,0.202341,0.157604,0.001223,0.749712,0.005688,0.712095,0.006208,50.807514,54.972314,39.424929,50.417314,51.988743,23.508371,2.590251,2.822316,1792.71,58.2293,10.789657,0.748,0.0737,0.014951,1.216499,0.070712,4.69876,7.651183,0.689257,33.5269,0.700993,0.774944,2.809287,65.387614,6.508726,89.281133,1.297417,75.4654,7.196125,0.289486,0.143264,5.9269,0.044555,4.567156,336.455475,375.085182,122.092894,29.2148,40.60383,13.463614,1.35164,14.59713,16.859683,9.44839,9.91988,10.4803,0.040089,3.665206,2.80618,87.4039,0.120799,27.937214,50.844029,0.051719,97.9566,6.32453,61.429212,76.605676,0.178401,0.113891,221.619,48.999443,1.12793,0.47195,0.215188,0.065803,9.170466,20.608445,0.788261,0.023849,26.641543,45.515586,1.218989,-1
7.25343,0.01899,0.017087,16.676157,7.252237,0.12595,0.192146,0.010318,5.358429,5.418767,94.774938,4.884923,10.7572,13.66036,0.09195,79.2928,0.009595,0.215734,0.158085,0.019891,0.231995,0.146565,0.006811,0.644464,0.004885,0.524713,0.013066,50.060571,55.058529,37.7269,50.986414,51.994557,23.456986,2.503079,2.457044,1798.66,58.181538,10.8144,0.7744,0.0805,0.014766,1.363433,0.045737,4.620054,8.519849,0.607889,24.103857,0.716376,0.803991,3.134759,66.396057,6.045944,95.9882,1.435759,77.76765,9.30882,0.265801,0.154397,6.090319,0.045158,4.971973,400.363,365.476376,121.123424,30.422943,40.279029,12.584071,1.324671,13.775716,16.525688,9.12977,9.6357,13.4615,0.041274,2.650673,1.50596,88.5853,0.169048,28.277729,49.796657,0.049117,96.0145,9.68026,62.5404,77.3611,0.213521,0.094602,80.309543,47.2063,1.28504,0.64811,0.260188,0.048869,9.18537,15.649537,0.786156,0.0192,22.6343,43.734429,1.754903,1
7.109174,0.026814,0.026528,14.5937,7.108933,1.107193,0.192208,0.007581,5.485571,7.396704,95.038198,4.89,14.7424,18.63278,0.084157,75.8507,0.011087,0.220541,0.159626,0.010244,0.208906,0.17324,0.001504,0.676249,0.00513,0.534136,0.008032,50.0478,55.054314,53.813014,51.207514,51.989657,23.87255,2.538003,1.845353,1786.26,57.598038,9.863783,0.754629,0.064786,0.015467,1.370556,0.044238,4.713211,8.585179,0.594733,23.551957,0.58979,0.77634,3.12591,64.554529,5.617101,100.790214,1.461402,72.8265,6.02297,0.21256,0.118199,8.184739,0.045978,5.048969,338.086,366.544224,121.72196,30.909743,40.670216,17.043243,2.009657,21.04296,22.306876,11.46055,11.95485,12.5132,0.075029,2.877654,4.55546,91.9365,0.140818,30.621771,50.919157,0.077632,96.5689,7.66003,62.5968,77.2087,0.321914,0.094847,81.916686,50.211357,1.29876,0.626105,0.245632,0.060808,10.319399,13.49338,0.784831,0.019845,20.774829,44.051129,1.888321,1
7.296066,0.016102,0.01381,15.416314,7.293461,0.174218,0.209815,0.007223,5.573857,8.021821,95.275628,4.894384,6.7212,8.46361,0.076891,75.8053,0.009068,0.273037,0.194181,0.011902,0.225258,0.182261,0.001968,0.805349,0.006108,0.381857,0.004767,50.336571,55.073386,50.871571,49.502214,52.019829,24.144133,2.39355,1.813426,1802.05,57.905303,9.534664,0.676843,0.061071,0.015678,1.123687,0.045255,4.669693,8.900049,0.596658,22.804814,0.656438,0.785428,3.044141,64.0639,5.938963,97.68155,1.044355,81.9198,6.19347,0.271906,0.153942,6.290056,0.045205,4.967121,312.226286,358.204857,123.364,31.644857,41.784599,20.425571,2.305039,20.717699,24.421373,9.94431,10.4825,14.2759,0.064742,1.706961,4.12468,90.3688,0.601436,29.830786,49.295243,0.058916,97.5601,7.91231,62.2129,77.2603,0.284968,0.09301,131.868957,49.509257,1.42569,0.655097,0.248227,0.052516,8.928043,16.840348,0.782917,0.020712,20.949786,44.560771,1.515173,-1
5.737609,0.011935,0.01008,16.544043,5.736224,0.378782,0.225739,0.029096,5.458714,7.13227,95.875235,4.802454,8.73636,10.98008,0.083084,76.112,0.039375,0.244087,0.14088,0.015016,0.231495,0.160028,0.006238,0.917352,0.006972,0.362753,0.005025,50.289171,55.101229,21.273917,51.609714,52.016029,21.847657,2.030429,1.77582,1814.22,57.709308,9.330811,0.767429,0.051886,0.015209,1.170344,0.045631,4.87692,8.586947,0.596396,24.7776,0.616513,0.791642,3.002257,78.005271,5.380623,87.11186,1.173715,80.3392,8.07381,0.231486,0.123642,6.335254,0.044262,5.377907,345.930857,340.09,120.990571,32.076757,32.316402,12.096943,1.20989,13.9966,15.050819,10.5773,11.0252,7.35907,0.027422,1.640333,2.67733,90.1984,0.249222,31.613571,47.024614,0.137227,96.4191,9.15591,56.3415,69.6147,0.274898,0.103606,87.047557,44.394714,1.57242,0.594604,0.238158,0.075566,9.757309,18.292033,0.776406,0.02372,19.524443,44.788214,1.561487,1
6.387846,0.011673,0.012681,18.472529,6.386923,0.43319,0.216074,0.017949,5.490714,7.232401,94.826986,4.856364,8.54362,10.80674,0.082351,75.8919,0.013099,0.219656,0.164698,0.018018,0.276388,0.217595,0.002489,0.842114,0.006404,0.361798,0.004781,50.287629,55.189014,53.103186,52.542571,51.980057,24.197533,2.518854,1.822781,1801.3,54.938297,8.000549,1.079714,0.053743,0.016399,1.1893,0.035098,4.746776,12.925243,0.526268,17.689943,0.626715,0.773345,3.597963,110.948714,5.071536,97.3146,1.447303,75.393,9.098075,0.298875,0.174025,6.391644,0.046282,5.485283,328.643143,389.545286,120.882714,32.447857,35.571354,13.571614,1.387463,15.845626,16.71216,9.97914,10.4474,9.66475,0.019828,3.646613,3.5613,90.88,0.198114,31.771029,44.641729,0.111426,96.0843,8.95159,60.408,74.839667,0.415344,0.086243,62.952414,43.413029,1.89727,0.429335,0.193083,0.055656,10.760221,1.5542,0.778352,0.028606,18.678129,43.3462,2.86558,1
10.94742,0.021569,0.019447,15.649771,10.961761,0.209113,0.201,0.0121,5.478429,7.196494,95.718509,4.977743,8.53615,10.8236,0.113157,74.9533,0.016056,0.219454,0.17422,0.028182,0.227621,0.196333,0.00615,0.924318,0.007021,0.395463,0.0019,50.220971,55.184157,121.594429,48.081257,52.020271,25.517543,3.587717,1.417889,1758.02,53.706969,8.351859,0.782171,0.0478,0.017915,1.334038,0.034962,4.725395,9.543797,0.541633,20.361143,0.774945,0.790273,3.508069,77.567714,4.887044,96.380183,0.35436,76.4896,8.06344,0.314063,0.175442,7.03341,0.048323,5.184437,280.866723,364.144286,120.8568,32.198271,57.269317,22.721014,2.306496,24.262629,28.212106,10.7299,11.1572,9.39295,0.021641,2.604419,4.08599,92.2205,0.069541,31.054886,54.309414,0.067274,97.1051,8.91717,65.5402,80.9759,0.260522,0.087107,89.452443,65.197271,1.480655,0.532712,0.216491,0.067603,9.609608,10.050741,0.779678,0.028981,20.415643,44.077729,2.219859,1
8.552643,0.028736,0.027048,18.300571,8.553877,0.07223,0.216187,0.007526,5.621714,5.999184,95.762397,4.955233,9.729625,12.218875,0.09384,75.5554,0.045737,0.235961,0.153304,0.039233,0.206267,0.235165,0.017305,0.949252,0.007215,0.423484,0.002549,50.228386,55.151686,112.494857,47.824314,51.973543,25.8723,3.255641,1.564131,1543,56.489583,8.502679,0.793414,0.04656,0.016454,1.331231,0.03446,4.701935,9.90862,0.655347,33.901286,0.821958,0.794554,2.274764,82.579171,5.088927,94.737521,1.222454,74.6572,9.23841,0.270484,0.145712,6.094899,0.048582,5.198859,311.206601,305.3818,122.288471,31.737286,46.656345,14.154057,1.415674,16.727524,18.835175,9.1875,11.555141,8.1894,0.031549,2.416999,2.78853,90.8232,0.021608,30.7628,53.408814,0.10789,97.23,7.5915,61.9454,76.9668,0.276042,0.099231,97.750057,55.939729,0.967799,0.379463,0.172662,0.088169,9.493833,13.618631,0.777158,0.02311,19.4446,45.588543,2.129469,1
9.454294,0.02838,0.026293,17.488814,9.454001,0.048793,0.211618,0.008844,5.601571,6.282649,94.276448,4.850237,10.152,12.76608,0.137346,72.7608,0.014132,0.211151,0.151097,0.080097,0.216668,0.144186,0.004561,1.067058,0.008101,0.477069,0.006252,50.258471,55.131943,131.518571,45.418971,52.000057,26.255157,3.227379,2.737706,1786.46,56.083273,9.02257,0.9215,0.058743,0.013267,1.331461,0.035498,4.994559,10.737326,0.606186,25.894929,0.779623,0.78687,3.522409,84.840443,5.425969,57.5184,1.005079,73.1401,9.41481,0.300386,0.173358,5.832859,0.048716,5.379916,206.935,365.485762,122.220659,30.440286,51.790281,15.997943,1.599969,17.722821,20.856839,9.90693,10.4475,9.8371,0.0441,3.291407,3.88658,91.8342,0.127967,30.083857,51.793343,0.127798,97.5148,7.62058,58.603,73.2646,0.38875,0.100305,105.095243,58.237314,1.436285,0.33655,0.159375,0.090333,9.856966,11.916218,0.777915,0.020354,20.651143,45.7165,2.190324,1
8.512396,0.02077,0.020016,20.377514,8.512957,0.041615,0.189412,0.0087,5.022143,7.861569,94.027696,4.725074,11.987,14.98029,0.167759,71.5794,0.013192,0.213634,0.165038,0.019916,0.218435,0.153289,0.001871,1.003733,0.007625,0.463648,0.00391,50.310257,50.770043,121.348429,42.779429,52.038843,25.7355,2.975339,2.363751,1804.93,58.419101,9.803453,0.760243,0.057457,0.013347,1.06046,0.051704,4.847727,9.461004,0.633574,28.106186,0.668341,0.784287,2.920266,65.2867,5.027436,93.1219,1.138022,76.9894,7.37833,0.232062,0.123691,5.612963,0.045861,5.014881,373.848286,376.376062,121.547336,30.284543,45.602443,14.7331,1.473586,17.737949,19.81231,9.38448,9.88749,11.9884,0.052592,3.190281,5.02099,87.4379,0.018226,29.530486,53.910871,0.106347,97.733,6.77843,60.380504,75.304082,0.325733,0.094967,82.190486,57.9733,1.3375,0.414831,0.196778,0.086896,9.857443,14.02037,0.785018,0.027544,20.241943,45.030614,3.469554,1
8.499886,0.02014,0.019855,19.491386,8.499627,0.048317,0.192649,0.009048,5.568429,8.465716,93.680173,4.669901,11.5471,14.54262,0.240658,68.8484,0.016136,0.238725,0.20789,0.01115,0.231183,0.192328,0.002254,0.893878,0.00679,0.483573,0.004403,50.308057,50.2202,166.692429,42.335914,52.030114,26.0723,2.975324,2.191929,1795.09,58.299424,9.30635,0.725486,0.057114,0.013365,1.0516,0.044063,4.751781,9.258495,0.617822,27.257286,0.664962,0.806835,2.675899,66.1486,5.403824,99.685971,1.37026,76.2453,6.96455,0.257438,0.134378,5.946714,0.04649,4.794263,372.353857,371.735974,123.173,31.4812,45.889518,14.695629,1.48112,16.460852,18.546062,9.63299,10.101,11.0033,0.028388,3.013547,5.392725,85.2454,0.125036,29.639057,52.898186,0.104198,94.8009,6.91405,60.16068,74.991161,0.35614,0.133248,65.285743,55.328629,1.48972,0.437676,0.194795,0.130451,9.79,14.399822,0.789175,0.030435,23.452729,45.653471,4.83495,1
8.477607,0.018374,0.014296,19.109886,8.475051,0.957246,0.240046,0.007672,5.624714,9.707143,93.790215,4.33549,14.0695,17.80946,0.25913,68.3531,0.016912,0.244546,0.174774,0.016751,0.233468,0.236665,0.00186,0.716378,0.005444,0.479311,0.003101,50.741057,50.1984,169.369143,39.421757,52.917157,26.617157,2.942254,2.128313,1798.64,57.828726,9.74862,0.752086,0.059429,0.013399,1.087363,0.042984,4.708927,7.942749,0.61281,27.261271,0.688165,0.81623,2.632094,69.453857,5.723989,96.4441,1.707366,75.5989,4.1565,0.229412,0.110959,6.338023,0.046404,4.890324,342.523143,351.4485,123.190714,32.005157,45.144008,15.633371,1.563394,17.787715,19.804452,10.4635,11.6408,11.611,0.029975,2.857966,5.07267,86.3985,0.069057,30.699943,54.700486,0.119206,96.5576,8.91851,60.520191,75.463236,0.316319,0.1361,84.523814,57.014114,1.56067,0.397697,0.177866,0.078086,8.76376,12.774889,0.781081,0.027384,21.422786,45.401671,5.317621,1
6.174156,0.016299,0.019825,21.751057,6.175092,0.154623,0.207958,0.008266,5.572286,7.87865,94.197682,4.358954,13.778,17.45363,0.176715,68.4554,0.013893,0.255618,0.223328,0.019314,0.260167,0.157745,0.002819,0.755275,0.005738,0.468362,0.00145,50.3359,48.6041,172.908217,39.5614,50.031514,25.1838,2.179731,2.125194,1633.01,57.482958,9.792784,0.730514,0.0668,0.01233,1.138139,0.032097,4.502206,7.789833,0.634611,28.036443,0.649839,0.773594,2.652153,66.1536,5.43897,94.782957,2.84518,81.9405,5.66799,0.23143,0.11629,6.49835,0.044435,3.860343,315.853,349.350143,123.543429,31.997286,36.398117,12.776329,1.337794,14.324917,15.871261,9.20075,10.1891,12.7933,0.038134,2.807719,7.20078,84.2798,0.083895,31.123286,54.8033,0.093071,97.2259,9.42687,56.6622,73.1373,0.433306,0.083893,70.761929,47.232714,1.60009,0.327762,0.149478,0.156482,9.69757,5.020823,0.771845,0.022543,21.263057,46.457443,1.434606,1
