@relation WekaExcel

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute x55 numeric
@attribute x56 numeric
@attribute x57 numeric
@attribute x58 numeric
@attribute x59 numeric
@attribute x60 numeric
@attribute x61 numeric
@attribute x62 numeric
@attribute x63 numeric
@attribute x64 numeric
@attribute x65 numeric
@attribute x66 numeric
@attribute x67 numeric
@attribute x68 numeric
@attribute x69 numeric
@attribute x70 numeric
@attribute x71 numeric
@attribute x72 numeric
@attribute x73 numeric
@attribute x74 numeric
@attribute x75 numeric
@attribute x76 numeric
@attribute x77 numeric
@attribute x78 numeric
@attribute x79 numeric
@attribute x80 numeric
@attribute x81 numeric
@attribute x82 numeric
@attribute x83 numeric
@attribute x84 numeric
@attribute x85 numeric
@attribute x86 numeric
@attribute x87 numeric
@attribute x88 numeric
@attribute x89 numeric
@attribute x90 numeric
@attribute x91 numeric
@attribute x92 numeric
@attribute x93 numeric
@attribute x94 numeric
@attribute x95 numeric
@attribute x96 numeric
@attribute x97 numeric
@attribute x98 numeric
@attribute x99 numeric
@attribute x100 numeric
@attribute x101 numeric
@attribute x102 numeric
@attribute x103 numeric
@attribute x104 numeric
@attribute x105 numeric
@attribute x106 numeric
@attribute x107 numeric
@attribute x108 numeric
@attribute x109 numeric
@attribute x110 numeric
@attribute x111 numeric
@attribute x112 numeric
@attribute x113 numeric
@attribute x114 numeric
@attribute x115 numeric
@attribute x116 numeric
@attribute x117 numeric
@attribute y {-1,1}

@data
0.315857,-0.445708,0.131977,0.021394,-0.491817,-0.415425,0.453757,-0.744494,-0.242761,-0.354782,0.014928,0.03969,-0.326007,-0.402421,1.334117,-0.416213,-0.421801,-1.391329,-1.466712,-1.160226,-1.144574,-1.360575,-1.364441,0.163654,-0.802903,-0.451432,0.885904,0.367802,0.186056,0.185528,-0.521452,-0.851226,-2.391506,-2.264726,-1.467094,-1.773641,-1.812515,0.193754,-1.537605,-0.720544,-0.4802,-1.179885,0.023992,-0.399943,-0.9411,-0.893996,-0.713132,-1.076617,-1.077036,0.093386,0.22096,0.501259,0.140177,-0.355306,0.787317,1.222359,-0.834319,-0.53653,0.262154,1.008861,1.648353,0.322382,0.73937,0.114262,-0.625005,-2.532557,-3.574508,-3.867017,-0.803279,-0.701213,-0.956499,-0.980251,-0.938046,-0.75793,-0.835331,-0.697166,-0.445098,-0.69127,0.473436,-1.387668,-1.295981,-1.829373,-0.37486,-0.576251,0.47114,-2.783402,-2.778597,-2.806597,-2.850087,-2.80564,-1.394072,0.042942,0.845358,-1.662458,0.781844,-1.76471,-2.050343,-1.048626,-0.558495,-2.601889,-0.445408,0.05144,0.361472,-0.313352,-2.160378,0.694813,-0.589715,2.754323,-0.929242,-3.132807,-0.697766,-1.313152,-0.007611,1.254753,1.100482,-1.335373,-1.219381,1
0.404054,0.297942,-1.924983,-1.75834,-1.444397,-0.104751,-0.164439,0.375591,1.20921,1.535141,0.035163,0.048102,-0.409954,-0.068688,2.407417,-0.169126,-0.497528,-0.461721,-0.578178,-0.615822,-0.54664,-1.010885,-0.943367,0.420323,-0.236355,-0.12578,0.669793,0.173262,-0.077219,-0.080665,-0.257902,-0.393422,-3.552246,-3.785482,-2.665428,-2.158315,-1.811953,-0.169017,-0.799957,-1.03973,-1.603676,-0.22895,0.438804,-1.847147,-0.049945,-0.007046,0.05378,-0.051797,-0.041404,0.34601,-0.011469,-0.078527,0.099069,-0.560192,1.316099,0.901661,-1.644141,-0.069949,-0.380228,1.159313,3.098204,0.051391,-0.21706,-0.754568,-1.9655,-3.101887,-5.106976,-4.332158,1.763521,1.633043,0.572574,0.643155,0.833341,0.40151,1.274573,1.434949,1.259974,0.54982,2.063758,-0.471522,-0.354597,-3.24821,-0.158819,-0.475878,-0.297569,-3.796927,-3.780673,-3.832634,-3.930797,-3.948787,-2.059127,0.694179,0.750838,-1.497616,0.157656,-1.94437,-2.6878,-1.620094,-0.711505,-2.847362,-0.021828,-0.178766,1.407821,0.892628,-2.081175,-0.210193,-0.82981,3.463438,-1.728988,-4.08645,0.027671,-2.424543,1.359767,2.896659,1.007237,-1.847053,-1.765007,1
0.873851,1.029049,0.576476,0.356615,0.615788,0.526456,0.659553,0.79416,0.888005,1.203185,0.411647,0.427704,0.124959,0.287102,0.08284,-0.584643,-0.455475,0.183608,0.364593,-0.060528,0.112335,-0.098269,-0.121454,0.195171,0.506869,0.378425,-0.001173,-0.325462,0.030158,0.020515,-0.569084,-0.550019,-1.94844,-1.603434,-1.363845,-1.555986,-1.26294,0.286324,-1.170005,-0.704792,-0.179334,-0.890556,0.445351,0.359517,0.653985,0.650102,0.749496,0.663543,0.586935,0.104064,1.075858,0.676266,0.564883,0.047002,0.371048,1.456938,1.23639,-1.007943,-0.48681,0.207251,1.04616,0.430426,0.103133,0.424035,0.063334,-1.088841,-1.252273,-1.603257,-0.563439,-0.258953,-0.126055,-0.170193,-0.193402,-0.342119,-0.464161,-0.676504,-0.674148,-0.839508,-0.457459,-0.89613,-0.86305,-1.469082,0.406638,-0.053514,-0.118993,-1.481137,-1.45659,-1.467637,-1.463534,-1.401231,0.579819,0.798294,0.09131,0.587934,0.497057,-0.756134,0.966291,0.683679,-0.51755,-1.007749,-1.272697,0.791792,1.150257,0.078922,-1.007436,-0.245108,-1.012776,1.791282,-0.831715,-1.615076,0.696348,-1.549328,0.013302,-0.084466,0.026427,-1.164263,-0.012665,1
-0.176168,0.634851,0.005049,-1.315115,0.05482,0.294776,1.085721,0.726952,1.308618,1.157444,-0.006633,0.021626,-0.184359,-0.055837,-0.062736,-0.711827,-0.856915,-0.751461,-0.655301,-1.181797,-1.103184,-1.162595,-1.239255,0.5678,-0.188872,-0.26097,0.786331,-0.038158,-0.217199,-0.216618,-0.609904,-0.898096,-2.388023,-1.958561,-1.333426,-1.564087,-1.517697,-0.291425,0.188302,-0.943542,-0.801093,-0.343012,-0.42919,-0.138838,0.1543,0.119494,0.326204,0.170915,0.121082,0.767518,1.996879,1.109254,0.569434,-0.201814,-1.048091,1.112703,0.656114,-1.065361,0.007765,0.64976,0.034938,1.047305,-0.451574,1.079746,0.849468,-0.284789,-0.69667,-1.038094,-0.226905,-0.112984,-0.002337,-0.08428,-0.164969,-0.727304,-0.649804,-0.842511,-0.830132,-0.865404,0.153511,-0.752916,-0.724065,-0.77352,-1.200601,-1.473394,0.807158,-0.486481,-0.455464,-0.480031,-0.493849,-0.520376,-0.241691,0.433577,-1.865597,0.295617,0.854088,-0.842801,1.149444,1.15526,-0.759936,-0.852103,-1.305318,0.560895,0.39969,0.816244,-0.242675,-0.235598,0.060282,0.373495,-0.127101,-0.510016,0.284172,-0.656319,-0.328545,-0.340135,0.098046,-0.829656,-1.04878,1
-0.141486,0.311822,0.390241,-0.305616,1.186593,0.602858,1.147301,-0.076213,0.259703,0.02301,0.095363,0.113439,-0.094084,-0.184962,-0.362875,-0.347825,-0.229326,-0.268362,0.13575,-0.133952,0.072454,-0.229706,-0.284204,0.381236,0.636203,0.672917,0.355963,-0.034073,0.817551,0.812822,-0.45415,-0.281269,-1.117181,-1.391236,-1.071538,-0.966951,-0.814804,0.602894,0.240135,-0.312089,0.251751,0.107721,-0.539436,0.863239,0.749127,0.730765,0.868684,0.742015,0.672664,0.123479,0.95643,1.138013,1.077725,-0.563075,-0.822832,0.947664,1.443776,-0.499116,-0.203593,0.25354,-0.47941,0.468388,-0.365803,1.110581,0.96524,0.347327,-0.992265,-0.897698,-0.320011,-0.025762,0.495087,0.371343,0.311472,-0.49301,-0.60198,-0.662508,-0.510231,-0.654676,0.215874,-0.577714,-0.615881,-0.260751,-1.173005,-1.494502,0.907398,-0.648123,-0.593873,-0.628542,-0.646434,-0.70274,-0.371155,-0.195167,0.040667,1.458375,1.362802,-0.456668,1.62404,1.747763,-0.767252,-0.799631,-1.823848,-0.156594,0.794709,-0.573398,-0.520185,-0.484492,-0.718272,0.525269,1.091538,-0.47403,0.827724,-0.968522,-0.299933,-0.279913,0.167876,-0.987717,0.107612,1
0.198629,1.356211,0.851857,-0.186008,0.577586,0.561982,1.161794,0.171251,0.402185,0.197174,0.004701,0.022942,-0.293442,-0.112877,0.094238,-0.426141,-0.33721,-0.146914,0.404293,-0.078779,0.156883,0.174159,0.080498,0.18113,0.859362,0.561228,0.199307,0.063736,2.336497,2.332925,0.853501,0.146662,-1.483337,-1.255456,-0.930129,-1.40553,-0.947521,0.787969,1.070327,-0.979467,0.006638,0.912721,-0.579855,0.379458,1.020008,0.932168,0.996247,1.0268,0.995243,0.476895,2.508897,1.164483,1.086142,-0.426896,-1.13472,0.979613,0.598783,-0.531704,-0.163624,0.40906,-0.067164,0.394357,0.597117,1.287411,1.02607,-0.077093,-1.264428,-1.260791,-0.473381,-0.33641,0.41747,0.262001,0.045592,-0.995303,-0.892173,-0.820732,-0.545162,-0.668009,0.385612,-0.545207,-0.516297,-0.73021,-0.854963,-1.04038,1.082099,-0.672426,-0.644443,-0.668633,-0.679969,-0.701854,-0.461976,0.02119,-0.556919,1.139614,1.377163,-0.265675,1.154443,1.210667,-0.645184,-0.876411,-1.411711,0.421458,0.953323,-0.449062,0.985253,-0.506362,0.321196,0.175561,1.49781,-0.655728,0.773504,-1.109366,-0.257424,-0.385364,-0.077842,-0.752055,0.729312,1
0.814873,2.275509,0.494431,0.256912,0.329876,0.398052,0.664618,1.709017,1.940459,2.464423,0.107503,0.122606,-0.1148,0.347333,-0.015763,-0.677792,-0.674851,1.251908,1.441999,1.035636,1.041154,0.42163,0.408819,0.347659,1.038566,0.594712,-0.306653,-0.761096,-0.32001,-0.334444,-0.816674,-0.703357,-2.569059,-2.404116,-1.884038,-1.912421,-1.248135,-0.094317,0.550797,-1.186418,-0.410561,1.230098,-0.576165,-0.849983,1.064124,1.048046,1.131977,1.103432,1.102341,0.470009,1.461121,0.678685,0.743249,0.218008,-0.094863,1.071853,0.744202,-0.847314,-0.316549,0.090195,0.9363,0.14552,1.599053,0.472085,0.155685,-0.741304,-1.273436,-1.708896,-0.035796,0.144426,-0.001338,-0.072451,-0.149094,-0.77874,-0.761039,-0.822799,-0.842707,-0.983138,-0.433995,-0.863935,-0.896304,-1.488759,-0.037596,-0.405817,0.155846,-1.655344,-1.636739,-1.641492,-1.633326,-1.624863,0.06751,0.669592,-0.860105,0.611027,1.165216,-1.12872,1.014792,1.07829,-0.435435,-0.351169,-0.721147,-0.208785,0.865236,0.834934,0.790753,-0.427916,-0.364092,1.544834,0.187721,-1.588873,0.944595,-1.635246,0.511981,0.151911,-0.393901,-1.707879,0.230895,1
-0.00438,0.892853,-0.15614,-1.286757,0.559039,0.967848,0.565029,1.577609,1.671009,2.398748,0.126751,0.146873,-0.005345,0.262828,-0.163363,-0.480465,-0.404487,1.243465,1.239193,0.084273,0.182763,-0.257275,-0.239924,0.155344,0.302424,0.084688,0.060631,-0.339052,-0.340868,-0.348074,-0.656276,-0.344745,-1.792981,-1.664884,-1.391324,-1.835213,-1.158978,-0.081382,0.884128,-1.501094,-0.506296,1.145927,-1.333083,-0.917527,0.873467,0.873905,0.880418,0.982882,0.949401,0.505525,1.352888,0.591502,1.105015,0.211658,-0.058867,0.703538,1.0073,-0.760838,-0.742866,0.157515,-0.353587,0.024971,0.216366,0.419962,0.295841,0.131582,-0.675315,-0.627942,-0.036513,-0.073357,-0.363599,-0.389943,-0.430671,-0.993937,-0.782155,-0.861647,-0.720133,-0.695883,-0.366829,-0.305929,-0.394228,-0.189468,-1.073471,-1.528551,0.514872,-0.361193,-0.314534,-0.355301,-0.357397,-0.407725,0.256901,0.643466,-1.103026,0.411753,1.487218,-1.253376,2.104695,1.738694,-0.108255,-0.548435,-0.769633,-0.281216,0.658387,0.666143,-0.136793,-0.341672,-1.077778,0.52327,0.280097,-0.308691,0.781755,-0.830562,-0.282603,0.009355,0.283139,-0.95572,0.156329,1
-0.846268,1.411173,-0.480984,-0.775488,0.107843,2.113855,0.376083,2.185674,2.535971,2.748679,-0.193085,-0.180998,-0.027915,0.578722,-0.474113,0.025849,-0.503903,1.287165,1.336294,0.025868,-0.080058,-0.454231,-0.379822,0.416619,-0.23177,-0.606327,-0.140888,0.303727,-0.72328,-0.723841,-0.016078,0.132632,-1.883712,-1.696036,-1.510696,-2.109328,-2.45282,-0.701033,0.79918,-1.491343,-0.813272,1.662041,-1.906871,-3.736307,0.825278,0.779941,0.916704,0.912586,0.911904,1.880464,1.907993,0.323615,0.598697,0.618046,-0.560222,0.534583,-0.146074,-1.268902,-0.106426,0.574694,0.040298,0.686626,0.111182,0.44806,0.440504,-0.793787,0.112677,-0.615742,0.530686,0.360378,-0.785522,-0.726584,-0.611078,-0.672679,-0.571746,-0.838848,-1.212594,-1.065152,-0.263091,-0.638789,-0.773183,0.182299,-1.66213,-1.723421,0.90911,-0.48282,-0.423609,-0.480069,-0.479854,-0.473862,0.121612,1.042605,-3.975286,0.026943,1.547129,-0.70361,2.289845,2.429635,-0.243316,-0.838499,-0.797367,-0.217071,-1.525936,0.403975,-0.503745,-0.448398,-0.468967,0.651906,0.019687,-0.21995,0.762535,-0.705982,0.013623,-0.092839,-0.202451,-1.101681,-0.768486,1
-1.038044,0.394612,-0.266121,-1.43346,-0.381358,-0.187331,0.46872,1.361379,2.510845,3.005913,0.203799,0.218979,-0.010938,0.28945,0.029544,-0.322844,-0.291022,0.541231,0.551254,-0.291888,-0.349623,-0.744829,-0.770681,0.431483,-0.672344,-0.921245,0.559705,0.162133,-0.348781,-0.351357,0.05184,-0.15816,-1.234004,-0.894448,-0.811169,-1.613627,-1.918051,-0.546533,0.734232,-0.443121,-1.291126,0.596534,-0.326431,-0.20234,0.713682,0.726412,0.884095,0.686709,0.671049,1.616426,1.913781,0.485295,0.351794,0.484849,-0.605699,0.724489,0.62312,-1.330371,-0.341016,-0.266551,0.036419,0.750355,0.945285,0.599554,0.663364,-0.016739,0.800759,-0.203024,-0.01437,0.006531,-0.348619,-0.381789,-0.367038,-0.638028,-0.709616,-0.959448,-1.145478,-1.116114,-1.341168,-0.798505,-0.827662,-0.631969,-1.26288,-1.497688,0.524613,-0.1203,-0.094233,-0.115673,-0.113462,-0.128835,0.216758,0.837865,-3.27399,0.08646,1.233962,-0.440581,2.176378,2.139355,-0.711328,0.15966,-0.637117,0.802756,-0.702639,1.156909,0.466714,-0.793355,-0.004905,-0.068596,-0.017626,-0.070412,0.84253,-0.703824,-1.054335,-1.015084,0.309629,-0.50987,-0.803977,1
