@relation WekaExcel-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute x55 numeric
@attribute x56 numeric
@attribute x57 numeric
@attribute x58 numeric
@attribute x59 numeric
@attribute x60 numeric
@attribute x61 numeric
@attribute x62 numeric
@attribute x63 numeric
@attribute x64 numeric
@attribute x65 numeric
@attribute x66 numeric
@attribute x67 numeric
@attribute x68 numeric
@attribute x69 numeric
@attribute x70 numeric
@attribute x71 numeric
@attribute x72 numeric
@attribute x73 numeric
@attribute x74 numeric
@attribute x75 numeric
@attribute x76 numeric
@attribute x77 numeric
@attribute x78 numeric
@attribute x79 numeric
@attribute x80 numeric
@attribute x81 numeric
@attribute x82 numeric
@attribute x83 numeric
@attribute x84 numeric
@attribute x85 numeric
@attribute x86 numeric
@attribute x87 numeric
@attribute x88 numeric
@attribute x89 numeric
@attribute x90 numeric
@attribute x91 numeric
@attribute x92 numeric
@attribute x93 numeric
@attribute x94 numeric
@attribute x95 numeric
@attribute x96 numeric
@attribute x97 numeric
@attribute x98 numeric
@attribute x99 numeric
@attribute x100 numeric
@attribute y {-1,1}

@data
0.637609,0.468123,0.336978,0.275035,0.63927,0.036841,0.383205,0.24732,0.686486,0.379279,0.448774,0.499054,0.52524,0.521746,0.298777,0.553923,0.1396,0.109377,0.411132,0.079483,0.233393,0.454716,0.088296,0.375737,0.369413,0.475475,0.084499,0.1932,0.72244,0.356598,0.60024,0.301175,0.69352,0.616973,0.529703,0.871878,0.359539,0.565022,0.306001,0.46645,0.556227,0.532508,0.445074,0.659595,0.378815,0.623998,0.56748,0.511667,0.423439,0.549717,0.342346,0.398801,0.760425,0.379055,0.387898,0.380021,0.933056,1,0.157939,0.659789,0.763588,0.473576,0.419723,0.681984,0.367365,0.655075,0.501778,0.319432,0.493967,0.521563,0.376857,0.383457,0.476713,0.107768,0.337631,0.241114,0.736817,0.197625,0.261315,0.451329,0.296744,0.74612,0.640441,0.56106,0.482336,0.287957,0.435973,0.284907,0.527855,0.518293,0.304849,0.383057,0.188634,0.256237,0.381031,0.517412,0.5658,0.551172,0.291949,0.020921,1
0.937891,0.54331,0.431928,0.189929,0.940447,0.63599,0.177973,0.201747,0.687221,0.300335,0.472023,0.453119,0.573545,0.56888,0.218144,0.437675,0.132006,0.170031,0.458633,0.114511,0.212396,0.425219,0.053383,0.577253,0.566356,0.54351,0.079416,0.191086,0.91376,0.336583,0.619511,0.291691,0.71119,0.949544,0.742454,0.970118,0.269472,0.663935,0.320018,0.591423,0.710036,0.471462,0.542695,0.719286,0.336422,0.822061,0.800206,0.805564,0.454867,0.537454,0.317998,0.522658,0.746206,0.342721,0.367448,0.48045,0.901587,0.974146,0.210172,0.797348,0.860591,0.415023,0.474745,0.822565,0.218362,0.970957,1,0.326358,0.92271,0.927515,0.636112,0.636319,0.529984,0.136677,0.312675,0.238511,0.775966,0.120752,0.244786,0.665148,0.185273,0.983907,0.54316,0.737373,0.631918,0.178586,0.631387,0.344061,0.731665,0.506808,0.243067,0.36056,0.122408,0.204669,0.243282,0.744336,0.513784,0.511916,0.294723,0.031657,1
0.771872,0.564992,0.422859,0.093761,0.773943,0.015234,0.367526,0.262836,0.779775,0.388497,0.390656,0.477924,0.648661,0.640508,0.257908,0.603639,0.09606,0.282466,0.495157,0.061774,0.085609,0,0.051274,0.332095,0.326324,0.520963,0,0,1,0.226231,0.658578,0.460984,0.336177,0.742574,0.629981,0.983754,0.175928,0.558279,0.350062,0.520013,0.755194,0.47866,0.595895,0.851755,0.393625,0.951598,0.927048,0.785203,0.580558,0.468943,0.392992,0.476409,0.896175,0.575815,0.311509,0.316002,0.971774,0.80989,0.155884,0.836025,0.781385,0.349275,0.421404,0.771694,0.24177,0.808363,0.794689,0.293762,0.763938,0.785671,0.0777,0.088589,0.466216,0.11574,0.317643,0.292228,0.764641,0.185336,0.204859,0.468453,0.231164,0.981379,0.613199,0.582226,0.506323,0.22923,0.671401,0.152241,0.571178,0.622974,0.285786,0.38058,0.14525,0.175456,0.248577,0.809692,0.494473,0.478974,0.122588,0.068202,1
0.935684,0.661995,0.392023,0.112048,0.938119,0.285067,0.117473,0.157967,0.873592,0.234395,0.318459,0.586778,0.663214,0.655086,0.233869,0.514009,0.260276,0,0.486406,0,0.536428,0.229637,0.179674,0.416867,0.408135,0.575867,0.088897,0.205495,0.918208,0.348692,0.623736,0.452388,0.738267,0.920972,0.911238,0.963442,0.195673,0.775723,0.233094,0.68342,0.586072,0.652602,0.52351,0.562178,0.267976,0.85508,0.87552,0.874348,0.361511,0.429233,0.402002,0.783188,0.713453,0.396077,0.386322,0.246977,0.633418,0.592081,0.252938,0.876695,0.988141,0.435271,0.469872,0.757108,0.118253,0.992333,0.814785,0.345712,0.701922,0.821511,0.392161,0.406651,0.915004,0.120352,0.35674,0.307269,0.786464,0.064803,0.175066,0.625297,0.188631,0.922986,0.589393,0.758445,0.713826,0.288689,0.667126,0.192011,0.79883,0.718967,0.32159,0.42116,0.348584,0.170022,0.148736,0.980605,1,0.364776,0,0.014089,1
0.800363,0.539544,0.391547,0,0.802227,0.195607,0,0.218315,0.815524,0.28448,0.283498,0.74307,0.59147,0.586946,0.08829,0.703781,0.466363,0.05172,0.60041,0.099843,0.092228,0.413932,0.2088,0.285228,0.279329,0.583268,0.026244,0.286202,0.878897,0.249075,0.630644,0.459822,0.715015,0.656591,0.703546,0.957598,0,1,0.578562,0.582102,0.657856,0.427129,1,0.609187,0.489549,0.823575,0.885266,0.54052,0.373906,0.726542,0.718476,0.607904,0.764873,0.329052,0.716291,0.216459,1,0.821707,0.007186,0.625698,0.902708,0.546493,0.572977,0.760325,0.054618,0.874039,0.500321,0.169725,0.448259,0.522692,0.171595,0.177678,0.604145,0.029309,0.537656,0.285551,0.806353,0.099174,0.06066,0.597045,0.21593,0.914373,0.654066,0.651807,0.54776,0.287847,0.542223,0.156239,0.638509,0.82465,0.394052,0.465915,0.44767,0.117954,0.172775,0.715919,0.666254,0.358865,0.109611,0,1
0.759608,0.717518,0.420935,0.017863,0.761676,0.051852,0.098909,0.311684,0.879518,0.331861,0.002064,0.535545,0.726269,0.720449,0.027104,0.52381,0.322693,0.120179,0.356427,0.110538,0,0.226893,0.093136,0.674401,0.661496,0.367213,0.085499,0.309875,0.92676,0.283231,0.80586,0.427953,0.691186,0.837286,0.911114,0.941447,0.097196,0.727179,0.375837,0.682156,0.598361,0.194443,0.900752,0.725158,0.526315,0.764065,0.801309,0.435138,0.591374,0.513377,0.301964,0.632822,0.684667,0.477602,0.591261,0.556369,0.90761,0.947189,0.09091,0.66253,0.787008,0.486203,0.637328,0.684261,0.067519,0.837373,0.445248,0.143577,0.468546,0.487932,0.026082,0.00693,0.456163,0.094803,0.410833,0.114132,0,0.167089,0.115158,0.44864,0.241258,0.719019,0.616063,0.713176,0.668732,0.363433,0.558849,0.352984,0.733116,0.66208,0.570146,0.545771,0.531609,0.169615,0.651353,0.99089,0.524059,0.392651,0.105467,0.135898,1
0.909117,0.688734,0.462784,0.12745,0.911425,0.306186,0.156606,0.41398,0.890183,0.340523,0.251141,0.4948,0.489731,0.488147,0.127897,0.317228,0.151384,0.17471,0.263281,0.100179,0.057976,0.209649,0.027314,0.274238,0.268528,0.651404,0.086641,0.300128,0.93597,0.337056,0.660325,0.229425,0.704279,0.908339,0.741703,0.941466,0.138435,0.854131,0.163362,0.740356,0.641178,0.534645,0.978282,0.749527,0.298414,0.806749,0.662871,0.674347,0.448989,0.460104,0.174944,0.61216,0.847216,0.451817,0.207673,0.783962,0.662134,0.585554,0,0.754884,0.96935,0.382193,0.46407,0.657858,0,0.9622,0.585998,0.210369,0.555959,0.62496,0.096496,0.092977,0.445409,0.085096,0.527108,0.143392,0.801105,0.124423,0.092543,0.540353,0.264798,0.925699,0.606673,0.709204,0.59577,0.267296,0.35604,0.669407,0.847622,0.611304,0.410222,0.861296,0.22359,0.185761,0.170655,0.883482,0.638228,0.385665,0.33792,0.053756,1
0.727387,0.321381,0.408592,0.219086,0.728809,0.02894,0.302341,0.234338,1,0.25466,0.456019,0.434959,0.611515,0.609049,0.140335,0.553221,0.063017,0.256027,0.154301,0.040666,0.082421,0.119596,0.014603,0.240853,0.235896,0.566401,0.127677,0.284335,0.929777,0.235622,0.600861,0.226818,0.746235,0.550975,0.689783,0.947423,0.327932,0.937039,0.164534,0.776167,0.571735,0.536278,0.771059,0.583019,0.148254,0.834736,0.883101,0.515747,0.39032,0.26712,0.187613,0.854712,0.666792,0.555902,0.251293,0.829915,0.704471,0.654206,0.064777,0.470644,0.632463,0.460571,0.380602,0.700395,0.069987,0.757764,0.535629,0.186537,0.461798,0.535229,0.073787,0.083943,0.428952,0.072398,0.396263,0.079139,0.123757,0.183214,0.019801,0.459887,0.181214,0.721732,0.649141,0.574406,0.498496,0.214422,0.495463,0.259871,0.512033,0.432443,0.663084,1,0.11756,0.241006,0.681742,0.861971,0.618687,1,0.314335,0.098537,1
0.421832,0.237828,0.235638,0.1714,0.422448,0.073076,0.376283,0.214845,0.701559,0.223808,0.538588,0.453824,0.540228,0.532929,0.167578,0.264707,0.013259,0.273037,0.389198,0.022172,0.16423,0.466507,0.001731,0.165629,0.162817,0.827372,0.142984,0.256162,0.926438,0.078328,0.870706,0.229285,0.622632,0.385854,0.876643,0.959319,0.559862,0.88313,0.176625,0.635642,0.490198,0.615356,0.719657,0.626168,0.199021,0.971792,0.759627,0.371243,0.283629,0.436617,0.184474,0.597111,0.689614,0.404179,0.222649,0.579907,0.783775,0.676841,0.034176,0.548794,0.63347,0.556292,0.419859,0.616962,0.110908,0.436086,0.233578,0.04318,0.2167,0.236501,0.061393,0.048319,0.364035,0.056986,0.561768,0.125724,0.749725,0.193551,0,0.383712,0.235585,0.831169,0.433853,0.495041,0.432305,0.189245,0.490951,0.93375,0.278771,0.176313,0.262961,0.340301,0.199852,0.156274,0.779782,0.646625,0.597083,0.969012,0.423922,0.223685,-1
0.405885,0.307903,0.193809,0.207569,0.406725,0.075042,0.371379,0.267943,0.464942,0.275665,0.300087,0.622312,0.48502,0.488535,0.184233,1,0.041524,0.278713,0.561156,0.042027,0.263613,0.401913,0.152848,0.071875,0.07055,0.458926,0.338826,0.199178,0.937747,0.071,0.905328,0.229844,0.61761,0.352478,0.64864,0.970572,0.555981,0.890964,0.242154,0.794904,0.472154,0.982216,0.391914,0.576311,0.330946,0.48665,0.307646,0.395358,0.608852,0.669114,0.202525,0.426712,0.835233,0.457434,0.416894,0.979932,0.715806,0.73539,0.041474,0.578848,0.761495,0.830775,0.389484,0.566484,0.319207,0.428431,0.17689,0.034964,0.172663,0.220435,0.023459,0.014888,0.711738,0.05969,0.349483,0,0.778454,0.274507,0.037012,0.318915,0.223347,0.319646,0.938113,0.585465,0.472528,0.25071,0.185518,0.153214,0.236448,0.344522,0.448429,0.490721,0.111581,0.160144,0.591423,0.584766,0.383836,0.694914,0.149655,0.325191,1
