@relation WekaExcel-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute x55 numeric
@attribute x56 numeric
@attribute x57 numeric
@attribute x58 numeric
@attribute x59 numeric
@attribute x60 numeric
@attribute x61 numeric
@attribute x62 numeric
@attribute x63 numeric
@attribute x64 numeric
@attribute x65 numeric
@attribute x66 numeric
@attribute x67 numeric
@attribute x68 numeric
@attribute x69 numeric
@attribute x70 numeric
@attribute x71 numeric
@attribute x72 numeric
@attribute x73 numeric
@attribute x74 numeric
@attribute x75 numeric
@attribute x76 numeric
@attribute x77 numeric
@attribute x78 numeric
@attribute x79 numeric
@attribute x80 numeric
@attribute x81 numeric
@attribute x82 numeric
@attribute x83 numeric
@attribute x84 numeric
@attribute x85 numeric
@attribute x86 numeric
@attribute x87 numeric
@attribute x88 numeric
@attribute x89 numeric
@attribute x90 numeric
@attribute x91 numeric
@attribute x92 numeric
@attribute x93 numeric
@attribute x94 numeric
@attribute x95 numeric
@attribute x96 numeric
@attribute x97 numeric
@attribute x98 numeric
@attribute x99 numeric
@attribute x100 numeric
@attribute x101 numeric
@attribute x102 numeric
@attribute x103 numeric
@attribute x104 numeric
@attribute x105 numeric
@attribute x106 numeric
@attribute x107 numeric
@attribute x108 numeric
@attribute x109 numeric
@attribute x110 numeric
@attribute x111 numeric
@attribute x112 numeric
@attribute x113 numeric
@attribute x114 numeric
@attribute x115 numeric
@attribute x116 numeric
@attribute x117 numeric
@attribute y {-1,1}

@data
0.519809,0.380668,0.565233,0.520501,0.694207,0.571732,0.804913,0.338957,0.404545,0.555357,0.482848,0.483565,0.259309,0.177145,0.539688,0.321952,0.275075,0.090842,0.161524,0.229024,0.245751,0.177974,0.189208,0.855419,0.361033,0.421129,0.497819,0.576498,0.593882,0.593822,0.15762,0.120269,0.114061,0.193658,0.2368,0.194246,0.375269,0.737403,0.466716,0.326235,0.824086,0.594818,0.445367,0.57991,0.518928,0.521352,0.540243,0.457305,0.443477,0.738414,0.701603,0.817971,0.482054,0.495711,0.512811,0.80702,0.303525,0.344589,0.454553,0.457054,0.508557,0.38674,0.64836,0.680756,0.455368,0.101567,0.200337,0.073986,0.061308,0.025699,0.03045,0.023335,0.000497,0.080689,0.020606,0.089363,0.199264,0.291404,0.656904,0.275732,0.285267,0.427086,0.378424,0.344955,0.722633,0.204925,0.209332,0.203892,0.199641,0.205024,0.158351,0.469918,0.739239,0.287674,0.751638,0.071152,0.13894,0.281701,0.242613,0.179143,0.541797,0.523863,0.554963,0.516749,0.241636,0.441906,0.126929,0.861996,0.492431,0.174744,0.529602,0.227585,0.491186,0.734886,0.725775,0.198413,0.607971,1
0.535369,0.549918,0.210754,0.185481,0.581089,0.624337,0.63458,0.513115,0.672877,0.805407,0.484646,0.484313,0.251227,0.213998,0.64734,0.348881,0.266757,0.262988,0.309566,0.336435,0.354817,0.238548,0.264942,0.889266,0.490564,0.494661,0.46044,0.544559,0.574025,0.573723,0.184618,0.168277,0,0,0,0.114569,0.375352,0.686653,0.568187,0.268873,0.719968,0.710679,0.527305,0.328364,0.684672,0.68766,0.699838,0.649381,0.639771,0.775392,0.67129,0.661532,0.47212,0.452218,0.617191,0.733066,0.161521,0.493523,0.316298,0.483362,0.747513,0.338777,0.483129,0.444326,0.093575,0,0,0,0.322096,0.26113,0.201715,0.194722,0.177286,0.213315,0.240628,0.348987,0.482379,0.557976,1,0.445271,0.459538,0.179461,0.423618,0.364043,0.55145,0.018606,0.023861,0.015053,0,0,0.009991,0.6135,0.724744,0.322462,0.601857,0.024832,0.012474,0.163687,0.210498,0.133202,0.610289,0.471052,0.776215,0.719635,0.251843,0.267345,0.092918,1,0.356918,0,0.679435,0.016984,0.768205,1,0.705296,0.066651,0.537828,1
0.618254,0.716313,0.641834,0.583603,0.825733,0.731215,0.861616,0.578197,0.613517,0.761487,0.518101,0.518041,0.302726,0.253287,0.414185,0.303595,0.271376,0.38249,0.466644,0.445995,0.475017,0.396631,0.41277,0.859575,0.660488,0.60851,0.344387,0.462681,0.582123,0.581362,0.152741,0.151855,0.157599,0.277869,0.257203,0.239329,0.456552,0.750353,0.517283,0.329066,0.851969,0.63007,0.528598,0.711915,0.815595,0.810879,0.844617,0.783453,0.758866,0.739977,0.813101,0.865192,0.584688,0.581114,0.43064,0.861115,0.666627,0.194113,0.293359,0.316886,0.409307,0.405862,0.538445,0.765054,0.641148,0.359124,0.503918,0.434065,0.085676,0.070305,0.123464,0.108854,0.074815,0.128253,0.059312,0.091879,0.161232,0.259564,0.456073,0.366695,0.365412,0.489966,0.541905,0.444366,0.591217,0.444325,0.454019,0.450324,0.45578,0.456905,0.598687,0.636454,0.623606,0.762593,0.6833,0.331183,0.737417,0.639441,0.251206,0.477489,0.408026,0.693705,0.721752,0.582743,0.390215,0.26061,0.067,0.674575,0.508956,0.452851,0.817546,0.182831,0.495422,0.518646,0.489892,0.242475,0.7631,1
0.433002,0.626596,0.543359,0.268914,0.759119,0.691986,0.979039,0.567747,0.691249,0.755435,0.480932,0.48196,0.272946,0.215417,0.399583,0.289734,0.22728,0.209334,0.296716,0.224768,0.253301,0.212269,0.211724,0.908714,0.50142,0.464135,0.480597,0.509849,0.563467,0.563458,0.148559,0.115354,0.114403,0.232646,0.263214,0.237651,0.418873,0.669528,0.704131,0.286159,0.794347,0.696782,0.35585,0.625294,0.722659,0.711387,0.75653,0.691122,0.670569,0.837091,0.933222,0.982022,0.585788,0.528295,0.150505,0.781733,0.564875,0.175785,0.399803,0.394262,0.242643,0.515043,0.442615,0.943489,0.853322,0.502565,0.576551,0.523961,0.119868,0.085027,0.137322,0.117924,0.077652,0.084192,0.039953,0.071665,0.135332,0.254002,0.587883,0.393197,0.391141,0.61136,0.205688,0.174341,0.797461,0.627175,0.639314,0.63209,0.634911,0.614886,0.415425,0.556043,0.323518,0.700903,0.768973,0.308838,0.773753,0.736828,0.200333,0.506619,0.402751,0.640736,0.563044,0.706785,0.488769,0.262444,0.219004,0.398654,0.628349,0.655341,0.732414,0.352051,0.426167,0.477364,0.505621,0.328638,0.629902,1
0.439121,0.553077,0.60974,0.458944,0.893515,0.744152,0.996007,0.442866,0.497403,0.605342,0.489996,0.490118,0.281637,0.201158,0.369479,0.329405,0.296217,0.298794,0.428516,0.431509,0.467742,0.373864,0.383498,0.884112,0.690058,0.675006,0.406158,0.51052,0.641512,0.641185,0.164515,0.180038,0.239283,0.304891,0.314965,0.361335,0.522833,0.794641,0.711261,0.39964,0.89192,0.751699,0.334074,0.79947,0.83329,0.826004,0.86942,0.79816,0.775116,0.742819,0.797525,0.989782,0.708622,0.451606,0.194971,0.743674,0.702993,0.356532,0.354314,0.32498,0.157872,0.412581,0.457433,0.95188,0.884569,0.615334,0.537908,0.546293,0.110408,0.093824,0.193036,0.166026,0.125202,0.110993,0.04494,0.093583,0.188449,0.299264,0.601338,0.42562,0.411168,0.700852,0.211461,0.170326,0.819783,0.59746,0.613697,0.604757,0.606724,0.582179,0.386544,0.417421,0.61584,0.946289,0.891045,0.408391,0.867909,0.859186,0.198797,0.516439,0.318906,0.476138,0.646571,0.473,0.453007,0.214437,0.108718,0.428192,0.834841,0.661935,0.84468,0.29289,0.431964,0.487088,0.520957,0.287936,0.778562,1
0.499127,0.790773,0.689291,0.481459,0.821197,0.737231,1,0.481343,0.523735,0.628385,0.481939,0.482077,0.262444,0.209118,0.415328,0.32087,0.284367,0.321284,0.473259,0.442395,0.483142,0.443822,0.449093,0.857723,0.74108,0.649787,0.379063,0.526578,0.756078,0.755959,0.298469,0.224912,0.203302,0.322182,0.342909,0.270492,0.503204,0.820532,0.825462,0.279703,0.869204,0.84978,0.32609,0.715381,0.883671,0.863768,0.895966,0.851536,0.836257,0.794551,1,0.996924,0.710656,0.480514,0.133405,0.751042,0.554822,0.346129,0.362916,0.352174,0.225816,0.399478,0.623785,1,0.900986,0.539618,0.502329,0.488539,0.094826,0.062492,0.184343,0.154482,0.098667,0.053537,0.014679,0.074317,0.182649,0.2964,0.637957,0.431635,0.429603,0.618919,0.277992,0.256689,0.858687,0.592992,0.604337,0.597378,0.600529,0.582338,0.366283,0.465123,0.524201,0.879019,0.894491,0.457633,0.774745,0.74827,0.224418,0.502069,0.385548,0.608748,0.68011,0.493918,0.647011,0.210218,0.255964,0.360134,0.903682,0.628641,0.833482,0.266201,0.440576,0.470061,0.466993,0.348621,0.858484,1
0.607849,1,0.627695,0.564835,0.791781,0.709473,0.863012,0.720445,0.808016,0.928357,0.491075,0.490932,0.279643,0.259938,0.404295,0.293443,0.247279,0.580319,0.646154,0.66227,0.644437,0.486689,0.508145,0.879684,0.782051,0.657347,0.29155,0.391161,0.555712,0.554561,0.127378,0.135775,0.096613,0.175908,0.154409,0.1655,0.458742,0.697103,0.753996,0.242511,0.83054,0.888449,0.326818,0.501686,0.891876,0.885496,0.924212,0.865898,0.856557,0.793543,0.863347,0.865845,0.627792,0.617415,0.33867,0.772313,0.580321,0.245386,0.330003,0.296417,0.391201,0.355437,0.796877,0.778129,0.666073,0.421124,0.501152,0.417262,0.139285,0.110989,0.137434,0.119173,0.079237,0.078309,0.028354,0.074065,0.133244,0.228714,0.461135,0.372653,0.359256,0.486532,0.448976,0.377367,0.652421,0.412299,0.420676,0.418326,0.424414,0.416796,0.484401,0.608079,0.477708,0.767467,0.843632,0.235123,0.747039,0.720933,0.268441,0.600369,0.497211,0.464165,0.661484,0.709929,0.621946,0.225349,0.15889,0.626613,0.681694,0.457652,0.868819,0.16655,0.596451,0.556813,0.39758,0.10249,0.79441,1
0.46331,0.685316,0.515582,0.274252,0.818994,0.805953,0.835572,0.700013,0.758221,0.919668,0.492785,0.493089,0.290181,0.250606,0.38949,0.314949,0.276977,0.578756,0.612364,0.474565,0.487863,0.369088,0.391462,0.854323,0.613746,0.542184,0.355077,0.46045,0.554139,0.553532,0.143809,0.173381,0.172875,0.270044,0.251773,0.181492,0.471929,0.698912,0.799848,0.18596,0.821668,0.878193,0.177305,0.489946,0.856416,0.852843,0.871862,0.843304,0.827568,0.798741,0.849231,0.842321,0.715217,0.616067,0.345776,0.687378,0.626456,0.272989,0.238251,0.308189,0.178609,0.334101,0.558007,0.763945,0.703901,0.576845,0.579343,0.589201,0.139212,0.089024,0.096858,0.085655,0.051135,0.053693,0.026152,0.069334,0.153597,0.290413,0.475625,0.475915,0.452201,0.713292,0.232282,0.163851,0.732372,0.650207,0.665399,0.655046,0.660118,0.63509,0.526651,0.602319,0.440457,0.725412,0.9209,0.202984,0.963268,0.857313,0.337112,0.563451,0.489371,0.447549,0.617746,0.681533,0.502414,0.241984,0.057793,0.427803,0.697347,0.692231,0.835186,0.319033,0.435475,0.533795,0.546271,0.296176,0.784825,1
0.314778,0.803282,0.459601,0.370494,0.765415,1,0.783511,0.794559,0.91807,0.965966,0.464364,0.463956,0.288008,0.28549,0.358322,0.370131,0.266056,0.586848,0.628542,0.463041,0.439923,0.334972,0.3663,0.888778,0.491612,0.386153,0.320221,0.565978,0.525296,0.52516,0.20939,0.223441,0.163959,0.266077,0.228184,0.124715,0.280566,0.612225,0.788163,0.187712,0.793218,0.941076,0.063964,0,0.847453,0.835225,0.879413,0.830129,0.820461,1,0.921629,0.770039,0.59286,0.702336,0.24681,0.648416,0.42421,0.110814,0.375227,0.381136,0.243527,0.451207,0.539836,0.771591,0.742945,0.411761,0.682355,0.591142,0.196839,0.13277,0.0496,0.050115,0.033129,0.090441,0.048093,0.072111,0.071827,0.211099,0.498006,0.414317,0.382048,0.778176,0.109141,0.126792,0.820165,0.627848,0.64521,0.632083,0.637496,0.623228,0.49647,0.690319,0,0.644202,0.935276,0.344724,1,1,0.308765,0.509165,0.484886,0.462265,0.155867,0.637427,0.455125,0.221399,0.144034,0.452837,0.653222,0.708492,0.831216,0.34264,0.495487,0.517294,0.439626,0.25859,0.665935,1
0.280944,0.571919,0.496628,0.246637,0.707323,0.610354,0.809036,0.666392,0.913427,1,0.499632,0.499495,0.289642,0.253546,0.408839,0.332128,0.28944,0.448715,0.497744,0.400348,0.390754,0.284634,0.296001,0.890738,0.390883,0.315045,0.441398,0.542732,0.553542,0.553284,0.216347,0.192947,0.227803,0.368154,0.366416,0.227389,0.35966,0.633839,0.779229,0.376092,0.748933,0.811256,0.376148,0.614256,0.826698,0.825188,0.872628,0.787794,0.774809,0.961351,0.922384,0.813664,0.533193,0.674061,0.237832,0.692209,0.559089,0.091193,0.324738,0.234037,0.242888,0.462486,0.683934,0.812817,0.803094,0.550385,0.772307,0.65679,0.141462,0.097081,0.098536,0.086516,0.057485,0.094405,0.033716,0.057425,0.082971,0.200152,0.265421,0.384761,0.371963,0.636064,0.19266,0.16972,0.734541,0.694491,0.706173,0.699149,0.70518,0.685109,0.517696,0.645179,0.107543,0.656763,0.860128,0.412539,0.977489,0.940054,0.210535,0.695972,0.510798,0.69622,0.329954,0.764096,0.580188,0.154862,0.20977,0.312617,0.646899,0.735893,0.847739,0.343049,0.279128,0.368382,0.552089,0.410985,0.661373,1
