@relation WekaExcel-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute y {-1,1}

@data
0.736842,0.380165,0.378378,0.504983,0.636921,0.53315,0.970588,0.597015,0.767857,0.196078,0.805861,0.796482,0.674264,0.82162,0.499025,0.799025,0.971255,0.913408,0.452381,0.73913,0.738054,0.719772,0.649855,0.75,0.668081,0.911858,0.429181,0.516769,0.900885,0.672257,0.7134,0.524549,0.718833,0.717593,0.451392,0.593375,0.694915,0.456693,0.8,0.768293,0.708333,0.875,0.914729,0.949827,0.801636,0.861111,0.861111,0.941936,0.969697,0.88,0.819326,0.799491,0.620833,0.811279,1
0.776316,0.396694,0.486487,0.787375,0.623932,0.646875,0.088235,0.820896,0.732143,0.715686,0.736264,0.729899,0.597104,0.772549,0.576998,0.699005,0.722323,0.75419,0.293651,0.565217,0.41536,0.278958,0.235425,0.590909,0.769218,0.629952,0.590909,0.632849,0.390645,0.445603,0.756538,0.508201,0.331565,0.999228,0.288437,0.509293,0.451977,0.362205,0.333333,0.804878,0.458333,0.570833,0.462532,0.944637,0.584867,0.411111,0.411111,0.451613,0.50303,0.46,0.76674,0.762546,0.4625,0.702534,1
0.763158,0.242424,1,0.385382,0.65812,0.31875,0.441176,0.552239,0.830357,0.052288,0.772894,0.761307,0.687322,0.807069,0.500975,0.80103,0.959011,0.902235,0.246032,0.73913,0.741363,0.525354,0.350772,0.772727,0.584931,0.889855,0.232295,0.553756,0,0.649139,0.58749,0.425859,0.6313,0.760031,0.630407,0.4997,0.80791,0.559055,0.733333,0.853659,0.666667,0.8125,0.767442,0.958477,0.721881,0.605556,0.6,0.709677,0.733333,0.86,0.7763,0.776157,0.4375,0.771863,1
0.618421,0.402204,0.27027,0.523256,0.683761,0.346875,0.735294,0.656716,0.785714,0.333333,0.871795,0.866834,0.778015,0.899536,0.555556,0.88733,0.99432,0.913408,0.142857,0.826087,0.82491,0.788346,0.567375,0.863636,0.626167,0.967921,0.299347,0.520217,0.806574,0.689937,0.528714,0.194683,0.676393,0.713735,0.626552,0.565947,0.531073,0.527559,0.8,0.817073,0.708333,0.879167,0.855297,0.958477,0.820041,0.577778,0.577778,0.832258,0.848485,0.64,0.882861,0.881161,0.445833,0.904716,1
0.697368,0.479339,0.351352,0.463455,0.649573,0.546875,0.411765,0.61194,0.732143,0.464052,0.959707,0.957286,0.912631,0.938235,0.612086,0.978295,0.985073,0.941341,0.642857,0.782609,0.785756,0.739417,0.609266,0.818182,0.534532,0.943507,0.592918,1,0.355247,0.82185,0.451335,0.415511,0.588859,0.810185,0.496146,0.146133,0.20904,0.283465,0.8,0.878049,0.625,0.85,0.808786,0.946367,0.646217,0.744445,0.75,0.722581,0.751515,0.72,0.961451,0.94705,0.5375,0.948619,1
0.697368,0.399449,0.506757,0.42691,0.65812,0.5875,0.588235,0.61194,0.803571,0.421569,0.901099,0.900754,0.737179,0.949742,0.536062,0.854635,0.977625,0.913408,0.293651,0.847826,0.856343,0.946623,0.68417,0.886364,0.725437,0.783274,0.183074,0.479104,0.796713,0.689937,0.444325,0.367624,0.771883,0.665123,0.73212,0.297362,0.542373,0.527559,0.8,0.902439,0.75,0.879167,0.852713,0.932526,0.860941,0.705556,0.705556,0.845161,0.866667,0.86,0.911675,0.937103,0.225,0.95249,1
0.697368,0.374656,0.54054,0.599668,0.700855,0.609375,0.441176,0.940299,0.848214,0.715686,0.809524,0.802764,0.772555,0.938958,0.54191,0.865141,0.922143,0.860335,0.293651,0.782609,0.788789,0.784639,0.570946,0.818182,0.871543,0.86923,0.6778,0.51656,0.882174,0.776065,0.814775,0.463727,0.904509,0.805556,0.85803,0.798561,0.824859,0.503937,0.666667,0.878049,0.541667,0.7875,0.731266,0.918685,0.736196,0.572222,0.572222,0.735484,0.763636,0.16,0.841521,0.861117,0.275,0.883996,1
0.697368,0.451791,0.5,0.607973,0.649573,0.559375,0.382353,0.343284,0.544643,0.722222,0.619048,0.59799,0.566714,0.620382,0.403509,0.640319,0.743649,0.717877,0.484127,0.5,0.323286,0.574098,0.519402,0.477273,0.509927,0.61247,0.880462,0.616707,0.328698,0.773345,0.49663,0.583554,0.564987,0.47608,0.504497,0.218076,0.435028,0.448819,0.133333,0.682927,0.208333,0.458333,0.297158,0.944637,0.257669,0.383333,0.388889,0.36129,0.424242,0.2,0.654098,0.647969,0.4375,0.602059,1
0.723684,0.391185,0.371622,0.377076,0.649573,0.375,0.442201,0.626866,0.767857,0.434641,0.882784,0.874372,0.789174,0.887977,0.615984,0.905889,0.985882,0.910615,0.761905,0.76087,0.769212,0.670658,0.518098,0.795455,0.500085,0.91793,0.30663,0.519486,0.231606,0.713962,0.754381,0.441491,0.580379,0.691358,0.312848,0.395234,0.451977,0.338583,0.666667,0.829268,0.625,0.791667,0.74677,0.956747,0.742331,0.677778,0.677778,0.619355,0.648485,0.62,0.888117,0.892529,0.391667,0.853774,1
0.697368,0.396694,0.351352,0.480066,0.675214,0.321875,0.705882,0.716418,0.794643,0.343137,0.857143,0.855528,0.75095,0.890609,0.555556,0.887157,0.975481,0.944134,0.142857,0.804348,0.809469,0.722922,0.505309,0.840909,0.560835,0.942473,0.50226,0.508306,0.888496,0.646419,0.630628,0.227653,0.615385,0.703704,0.85803,0.63789,0.474576,0.511811,0.866667,0.829268,0.708333,0.9,0.875969,0.961938,0.832311,0.7,0.7,0.870968,0.878788,0.8,0.87053,0.866652,0.466667,0.886152,1
