@relation WekaExcel

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute y {-1,1}

@data
45.099998,1106,51.900002,517,57.400002,417,0.03,14.7,60.200001,274.5,2.35,7.25,3392,17910,33.799999,23988,57381,323,0.56,30,1506.6851,1505.5439,6.123,30,5087,17081,2353,15211,1547,1258,3677,12712,1.25,14.99,16.02,41.639999,7.39,6.72,45,73,42,44.700001,45.799999,84.199997,48.450001,35.700001,35.700001,35.599998,35.200001,26.1,1181470,1019600,13.6,873.09998,1
45.700001,1037,51.549999,368.5,50.099998,258,?,12.4,59.75,180,2.12,6.5,3271,16044,28.299999,25436,64722,339,0.95,32,2304,1033.996,6.065,32,3508,19210,2059,15198,1063,1429,3341,11847,?,10.49,12.38,28.370001,6.71,6.67,48,72.5,44,47.599998,49.099998,86.599998,48.349998,42.799999,42.900002,40.299999,39.700001,28.200001,1060400,941400,10.8,827.09998,1
44.700001,1077,52.5,418,57.799999,395,0.12,14.4,60.700001,238.5,2.6,7.98,3756,19926,31,27988,70546,360,0.57,39,2810,2989,10.67,39,4996,22441,2411,13737,3255,1631,2782,10137,2.97,11.92,34.990002,35.41,6.92,6.89,50,76,47,49.799999,51.25,84.300003,53.200001,43.299999,43.299999,42.099998,41.599998,26.4,1310800,1176600,10.25,1036.8,1
45.599998,1065,51.900002,429.5,?,?,?,12.6,60.349998,211.5,2.43,7.42,4073,18007,30.700001,27598,74045,380,0.76,36,2511,3344,10.322,36,3728,23707,2406,14442,1384,1399,2794,12071,?,12.16,16.040001,32.029999,7.1,6.35,51,73.5,49,50.799999,52.299999,85.599998,53.349998,44.799999,44.799999,41.700001,41.299999,27.4,1219000,1080800,11.3,980.59998,1
44.099998,1185,51.650002,431.5,57,415,0.05,15.1,60.200001,243.5,2.79,8.55,4144,21590,42.900002,30341,75712,378,0.37,44,3104,1221.986,6.907,43,4574,23456,3295,14017,2613,2046,3102,9351,2.73,11.75,33.240002,44.610001,7.84,7.31,52,78,52,51.599998,52.599998,84.5,57.900002,40.200001,40.200001,38.799999,38.099998,25.5,1393770,1267234,9.1,1122.1,1
45.400002,1086,51.549999,375.5,57.799999,329,?,14.4,60.299999,219,2.75,8.44,4260,20133,34.700001,31290,75019,410,0.8,38,2750,2976,8.977,38,3149,24447,2195,12718,1256,1557,2897,10471,1.89,7.87,11.91,22.389999,6.64,6.76,52,74,47,51.700001,52.799999,84.400002,53.549999,41.700001,41.700001,39.900002,39.799999,28.1,1375900,1184900,13.8,1112.5,1
44.200001,1115,50.700001,451,?,?,0.24,13.5,60.650002,221.5,2.17,6.68,3713,16996,28.5,25623,63402,320,0.57,35,2523,3408,11.386,35,3981,16266,1518,12106,3334,1551,3232,11452,2.36,10.49,27.75,66.099998,7.63,6.87,52,69.5,48,52,53.299999,81.199997,55.049999,42.599998,42.599998,41.700001,41.5,27.1,1103900,946600,13.95,938.90002,1
44.700001,1072,52.200001,457,58,397,0.18,14,60.900002,257,2.52,7.54,3891,19408,30,27044,67182,342,0.56,38,2737,3848,12.328,38,5275,21455,2739,14442,3366,1651,2906,9907,3.17,13.34,37.150002,40.919998,6.74,6.92,49,70.5,48,48.5,49.5,84.300003,52.75,40.900002,40.900002,40,39.5,24.9,1261600,1127000,10.2,966.375,1
?,?,51.700001,439.5,58.099998,409,0.26,14.4,60.349998,275.5,2.59,7.95,3995,20633,31.1,28069,71359,368,0.83,38,2698,4933,16.476999,38,5419,22463,1824,15337,3471,1709,3546,11417,3.27,?,45.849998,58.02,6.92,6.97,51,77,47,51.099998,52.549999,84.5,52.700001,39.900002,39.900002,40.799999,40.5,27.4,1301800,1154300,11.45,1022.5,1
43.299999,1168,50.049999,527.5,57.599998,418,0.18,15.3,60.599998,265,2.88,8.86,4616,21653,42.400002,30026,74715,380,0.56,49,3593,4140,12.507,47,5506,?,2998,15995,3723,1987,3669,9554,3.3,14.39,43.470001,53.360001,7.66,7.01,52,78.5,52,52.200001,53.299999,86.300003,55.75,39.799999,39.599998,39.900002,39.299999,25.6,731920,659619,9.9,263,1
44.799999,1041,50.950001,421.5,56.5,384,0.22,12.6,60.200001,205.5,2.83,8.69,4679,19329,34.200001,30753,74716,391,0.8,36,2575,2594,7.769,36,3471,23661,2454,12284,2069,1330,2659,11636,1.25,6.23,8.92,17.83,7.21,6.51,51,74,49,50.799999,51.799999,84.900002,53.150002,40.200001,40.200001,38.099998,38.299999,27.799999,1377900,1202900,12.85,926.20001,1
44.599998,1128,52.049999,497.5,58,412,0.09,15.5,60.599998,268,2.73,8.38,3994,20127,38.799999,27454,70160,360,0.57,39,2758,4000,12.716,39,5450,22633,2001,15028,1955,1581,3881,12116,0,14.38,31.93,55.91,7.69,6.76,47,77.5,45,46.799999,48.25,85.199997,51.599998,37.700001,37.700001,37,36.700001,25.9,721880,620854,14,1088.2,1
43.599998,1145,50.150002,532,57.299999,430,0.14,15.3,60.5,310,2.66,8.2,4393,20503,41.099998,29083,74732,380,0.75,39,3179,3867,12.247,46,4891,23497,2995,15968,3787,1863,2986,9323,2.98,13.89,37.919998,38.009998,7.74,6.65,50,77,51,50.200001,51.150002,85.400002,54.150002,40,39.700001,38.700001,38.200001,24.5,1350800,1228342,9.1,1115.1,1
45.299999,1068,51.450001,395,57.799999,326,?,13.7,60.349998,206,2.52,7.73,3705,19228,33,29673,71909,367,0.57,37,2634,2670,7.972,36,4372,22745,1571,14738,1309,1964,3358,11195,2.62,11.78,30.940001,27.48,7.03,6.89,51,72.5,51,50.799999,51.849998,84.599998,53,40.900002,40.900002,38.900002,38.700001,27.6,596900,492700,17.049999,469.89999,1
?,?,51.75,447,58,403,0.18,14.1,60.25,265,2.56,7.86,3768,20748,30.799999,27713,71693,369,0.56,37,2687,4340,13.51,37,5849,22115,2739,15015,3690,1587,3629,11447,3.51,?,42.419998,55.619999,7.03,6.98,50,78,47,49.900002,51.299999,84.599998,52.700001,39.700001,39.700001,41.200001,40.700001,26.799999,683250,608646,10.9,532.59998,1
45.099998,1045,53.150002,359,57.599998,393,0.15,13.1,61,191.5,2.67,8.17,4101,20410,32.700001,29562,74801,380,1.14,42,3055,3293,9.847,42,5084,24691,1715,13044,3190,1802,2670,6610,3.04,11.3,41.200001,37.060001,7.46,6.95,53,75,51,52.799999,53.799999,83.099998,55.799999,43.599998,43.599998,42.299999,41.700001,27.799999,662700,573300,12.95,575,1
45.299999,1077,51.700001,437,?,?,?,12.1,60.150002,192.5,2.7,8.3,4079,20636,33.200001,30012,73867,376,0.76,40,2801,3742,12.123,39,4435,?,1000,14848,3235,1092,3027,10640,2.67,12.62,15.73,32.75,7.68,6.53,50,74,45,49.799999,51.200001,85.599998,51,43,43,41.299999,40.799999,27.1,1350900,1186000,12.15,1080.2,1
45.400002,1069,51.950001,447,56.700001,384,0.21,13.4,60.299999,242.5,2.15,6.59,3452,15657,27.1,24387,64529,345,0.22,28,1085.85,1199.828,6.062,27,3516,17792,2046,14816,1874,736,2847,12419,1.28,7.73,7.97,31.059999,7.62,6.62,48,77,46,47.599998,48.799999,86.199997,49,38.200001,38.200001,38.200001,37.799999,27,1079500,959300,11.25,764.90002,-1
43.5,1229,49.900002,571.5,56.299999,456,0.15,14.2,60.099998,239,2.01,6.08,3002,15937,30.799999,21939,58237,297,0.37,29,1373.736,3242,9.795,29,4239,17081,2327,13489,3405,1759,2541,10294,2.53,12.14,31.67,36.939999,7.36,7.02,49,71.5,48,48.799999,49.900002,86.199997,52.450001,40.700001,40.099998,38.900002,38.200001,26.200001,1009730,915445,9.4,804.20001,1
44.299999,1120,51.349998,489.5,58.099998,423,0.27,15.9,60.5,308.5,2.88,8.84,4117,22191,34.099998,30618,74726,381,0.56,41,2872,5353,18.129999,41,5394,?,2422,13007,3661,1704,3005,9952,3.26,12.48,48.5,49.099998,7.64,6.88,49,76,47,48.900002,50.25,85.400002,54.099998,41.200001,41.200001,40.700001,40.200001,25.200001,1440100,1277400,11.3,1168.7,1
45,1116,51.400002,407,61.5,268,?,14,60.25,241,2.69,8.270001,4140,21041,34.799999,31270,74633,381,0.95,40,2934,3862,14.832,41,4224,?,789,13430,1385,1803,3226,10650,?,11.33,15.04,27.219999,6.81,6.63,50,74.5,46,49.400002,50.599998,85.099998,52.049999,43.299999,43.400002,40.5,39.799999,28.299999,1351500,1197300,11.4,1093.6,1
45.200001,1061,51.049999,355.5,60.5,245,?,13.8,60.299999,206,2.82,8.64,4510,20188,33,29691,74508,390,0.8,37,2652,2620,7.862,37,3301,23976,2245,18329,1229,2050,2626,10240,1.96,10.7,33.119999,24.690001,?,6.67,53,73,51,52.799999,53.700001,84.900002,53.349998,38.099998,38.099998,37.299999,?,?,1410200,1196000,15.15,1082.2,1
44.400002,1109,51.549999,494,57.900002,413,0.18,15.3,60.299999,269,2.54,7.78,3767,19706,29.9,26845,68459,347,0.66,34,2415,4148,12.827,34,5212,19709,2296,12501,3868,1613,3387,11023,1.39,12.02,28.629999,43.02,6.93,6.91,48,72.5,46,48.200001,49.799999,84.099998,52.599998,42.599998,42.599998,41.200001,40.799999,27.799999,667090,588560,11.75,970.77502,1
44.200001,1135,51.049999,533.5,57.700001,414,0.1,15.1,60.599998,284.5,2.63,8.08,4559,18987,38.5,27209,67253,354,0.57,37,1657.99,3719,11.579,36,4513,20901,2542,16145,473,1528,3233,12730,0,13.66,19.93,41.16,7.59,6.69,47,76,43,46.799999,48.150002,82.400002,49.049999,39.099998,39.099998,37,36.700001,25.5,1309690,1130012,13.75,1008.8,1
45.299999,1056,51.299999,383,57.799999,326,?,14.2,60.25,212,2.65,8.14,3890,20419,34.299999,30971,74013,371,0.37,39,2812,3157,11.356,39,4295,23802,1265,12454,1312,2424,3991,10601,2.58,10.07,39.75,47.830002,7.33,6.91,51,72,52,50.799999,51.700001,85.199997,55.349998,38.299999,38.299999,37.700001,37.299999,27.4,667000,579200,13.65,536.09998,1
45.200001,1076,51.349998,378,57.700001,330,?,13.7,60.349998,238,2.62,8.04,4164,19109,34.900002,29119,73845,373,1.15,36,2599,3307,10.879,33,3549,22544,1256,14867,882,1463,3243,10770,?,12.47,12.74,25.059999,7.41,6.64,51,73,47,50.700001,52,84.5,51.5,40.200001,40.299999,37.799999,37.5,26.5,1310700,1125500,14.15,964.40002,1
44.599998,1046,51.75,407.5,57.599998,394,0.17,13.2,60.75,204,2.5,7.66,4012,18765,30.9,27737,75347,380,0.57,40,2864,2716,8.193,39,4507,23859,948,13001,3071,1896,2969,9832,2.7,11.31,43.119999,38.82,7.4,6.88,53,75,51,53.200001,54.099998,83.900002,55.400002,39.299999,39.299999,41.900002,41.200001,27.9,655600,566000,13.65,548.90002,1
43.5,1114,51.849998,429,57.900002,392,0.18,13.1,60.349998,219,2,6.18,3141,15160,23.9,21587,61398,321,0.56,31,1173.75,1538.7271,7.277,32,5295,17220,984,13148,3358,1427,3069,10823,3.21,11.46,23.48,39.07,7.31,6.96,50,74,46,50,51.700001,87.400002,50.25,40.900002,40.900002,41.099998,40,27.4,1012900,894600,11.6,786.90002,1
42.799999,1245,48.400002,568.5,56.099998,477,0.27,15.7,59.950001,298.5,2.72,8.31,4337,21335,43.299999,30542,75819,380,0.19,43,2993,5392,21.521,43,3845,23955,2305,15860,3338,1988,2747,8345,0,13.66,47.41,37.43,6.99,7.27,53,75,51,52.299999,53.25,85.099998,55.700001,40.400002,39.599998,39.299999,38.5,24.6,1359180,1227832,9.7,1136.1,1
43.700001,1187,52.400002,521.5,58,410,0.13,15.4,60.400002,292.5,1.9,5.83,3043,15446,23.700001,21251,53728,272,0.38,29,2050,3821,13.979,29,4222,12614,1719,9567,1362,1499,2686,13316,2.58,9.1,30.110001,39.709999,8.15,6.9,44,69,31,39.099998,42.650002,77.699997,43.650002,34.400002,34.299999,35.299999,35.200001,24.9,941700,829600,11.9,719.29999,1
43.799999,1100,50.200001,517,57.299999,407,0.01,14.6,60.549999,257.5,2.46,7.58,4280,19399,39.299999,27839,75115,380,0.56,40,2800,1029.932,5.845,38,4369,21440,2622,17864,2894,1960,2412,8920,2.61,?,45.619999,35.049999,7.17,6.66,51,78,51,50.799999,52.049999,84.699997,53.849998,40.599998,40.099998,39.200001,38.700001,24.6,1238820,1125720,9.15,1022.4,1
45,1118,51.549999,425,56.700001,383,0.07,13.8,60.450001,235.5,2.62,7.97,4096,18409,41.400002,28158,68064,356,1.01,35,2470,2840,8.864,34,3420,20985,2505,13005,1537,1512,1665,10728,2.05,7.36,12.37,13.62,7.28,6.62,47,76.5,48,46.900002,47.5,84.900002,52.75,39.700001,39.799999,37.299999,36.5,25.200001,1303100,1132200,13.4,960.90002,1
43.900002,1145,49.549999,523,57.099998,404,0.09,15.2,61,188.5,2.42,7.44,3612,17562,38.599998,27606,70815,362,0.37,40,2881,1054.912,5.999,41,3898,21752,3049,14009,2534,1685,2686,8912,2.34,11.76,39.650002,33.990002,7.79,7.11,54,80,53,53.5,54.549999,85,57.299999,42,41.700001,40.599998,39.700001,26,1214270,1106895,8.85,1033.3,1
44.5,1082,52.099998,401.5,57.700001,398,0.23,13.5,60.650002,226,2.65,8.17,3649,20600,32.900002,29637,75419,380,0.56,43,3044,3322,9.971,43,4535,?,951,13036,2865,1801,2348,6306,2.72,11.29,46.02,29.85,7.65,6.91,53,75,48,52.700001,53.799999,84.599998,54.299999,40.900002,40.900002,41.299999,40.799999,27.700001,1332900,1156700,13.2,1108,1
43.299999,1145,49.700001,523.5,57.5,403,0.04,14.5,60.200001,239,2.23,6.82,3746,17194,34.799999,24588,68972,348,0.56,35,2480,1.882,5.618,34,4135,19901,1880,14453,2949,1665,2961,8756,2.47,13.4,38.73,43.099998,7.71,6.79,53,78.5,53,52.799999,54.25,84.5,55.299999,40.799999,40.5,40.099998,38.5,26,510680,462381,9.45,927.20001,1
44.5,1126,52,463,57.700001,389,0.13,11.5,59.150002,275.5,2.03,6.2,3264,14961,24.9,22290,58804,310,0.8,27,1172.76,3098,12.007,25,3559,16675,3506,14902,1302,1981,2713,14081,2.13,8.21,26.110001,22.209999,7.36,6.83,42,68,36,42,42.599998,84.199997,40.450001,35.200001,35.299999,34.200001,33.900002,24.799999,1007900,866400,13.3,758.90002,1
45.400002,1081,52,407,?,?,?,12.2,60.25,181.5,2.73,8.36,4084,19641,34.599998,31140,75305,380,0.95,39,2814,3297,10.685,39,3031,24859,1089,13180,847,1337,2697,9905,?,11.38,10.32,20.84,7.27,6.6,51,72,50,50.599998,51.599998,82.800003,53.950001,43.299999,43.299999,40.400002,40.099998,27.200001,1345700,1166200,13.35,1047.8,1
44.099998,1117,50.549999,427.5,57.799999,368,0.03,13.5,60.25,207,2.23,6.84,3681,15978,27.299999,24540,61746,331,0.8,29,1066.983,1013.928,5.826,29,2661,18132,2565,11071,1178,2050,2075,12184,1.6,6.25,31.870001,15.97,7,6.68,51,73,46,50.299999,51.799999,80.400002,52.049999,40.900002,40.900002,40.200001,39.900002,28.200001,1114000,943700,15.25,813.40002,1
