@relation WekaExcel-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute x55 numeric
@attribute x56 numeric
@attribute x57 numeric
@attribute x58 numeric
@attribute x59 numeric
@attribute x60 numeric
@attribute x61 numeric
@attribute x62 numeric
@attribute x63 numeric
@attribute x64 numeric
@attribute x65 numeric
@attribute x66 numeric
@attribute x67 numeric
@attribute x68 numeric
@attribute x69 numeric
@attribute x70 numeric
@attribute x71 numeric
@attribute x72 numeric
@attribute x73 numeric
@attribute x74 numeric
@attribute x75 numeric
@attribute x76 numeric
@attribute x77 numeric
@attribute x78 numeric
@attribute x79 numeric
@attribute x80 numeric
@attribute x81 numeric
@attribute x82 numeric
@attribute x83 numeric
@attribute x84 numeric
@attribute x85 numeric
@attribute x86 numeric
@attribute x87 numeric
@attribute x88 numeric
@attribute x89 numeric
@attribute x90 numeric
@attribute x91 numeric
@attribute x92 numeric
@attribute x93 numeric
@attribute x94 numeric
@attribute x95 numeric
@attribute x96 numeric
@attribute y {-1,1}

@data
0.558785,0.57234,0.570344,0.576042,0.675979,0.630422,0.564267,0.548893,0.530842,0.455214,0.359518,0.537683,0.761549,0.537008,0.764524,0.636578,0.494226,0.49257,0.698204,0.412721,0.372896,0.443532,0.535892,0.553383,0.419987,0.53352,0.504329,0.38644,0.753401,0.234001,0.11387,0.513852,0.389461,0.577483,0.646959,0.508763,0.576031,0.618419,0.665405,0.452836,0.393563,0.547926,0.607246,0.396642,0.213519,0.137279,0.286339,0.425768,0.452522,0.470202,0.523758,0.857785,0.683542,0.618863,0.5343,0.56479,0.355091,0.395167,0.602843,0.325142,0.684659,0.752605,0.524215,0.659158,0.464431,0.762619,0.436096,0.534068,0.484073,0.258588,0.167633,0.169314,0.399378,0.52365,0.695208,0.200276,0.338829,0.704291,0.619473,0.544255,0.427778,0.252199,0.489358,0.4465,0.363124,0.278378,0.44441,0.497435,0.469048,0.450521,0.373098,0.549479,0.489745,0.317922,0.675413,0.72776,1
0.467367,0.41076,0.410751,0.820533,0.505755,0.414945,0.565712,0.452382,0.443635,0.513959,0.288616,0.450508,0.605432,0.45008,0.610162,0.282029,0.611839,0.616542,0.57783,0.465042,0.42286,0.666838,0.391734,0.381479,0.229871,0.593361,0.307637,0.608984,0.495412,0.488501,0.330445,0.360623,0.295513,0.629795,0.678141,0.255451,0.710348,0.591904,0.149363,0.28984,0.64414,0.407168,0.60621,0.568277,0.145951,0.187819,0.166799,0.360644,0.405396,0.561372,0.304082,0.730366,0.733834,0.849268,0.631338,0.597422,0.9538,0.84186,0.353265,0.801721,0.56388,0.392253,0.344851,0.858026,0.410356,0.848501,0.413719,0.604426,0.627043,0.69761,0.383274,0.202572,0.265711,0.334191,0.193957,0.256963,0.090898,0.77104,0.691163,0.79357,0.234861,0.352456,0.352537,0.362377,0.397556,0.499398,0.598527,0.536211,0.326808,0.406595,0.74914,0.593406,0.238569,0.591157,0.39937,0.473043,1
0.801922,0.569484,0.539133,0.879661,0.387046,0.215054,0.561283,0.199659,0.191202,0.598423,0.174823,0.346996,0.444346,0.346361,0.44938,0.379722,0.628297,0.626769,0.57245,0.518683,0.494198,0.513362,0.546811,0.570185,0.355776,0.675738,0.238423,0.736341,0.397664,0.549593,0.540714,0.523761,0.337778,0.427294,0.506406,0.475188,0.61231,0.618678,0.591649,0.430447,0.441821,0.274796,0.588763,0.780016,0.563191,0.410862,0.359762,0.494358,0.453555,0.646457,0.610862,0.482101,0.621445,0.803849,0.59778,0.733267,0.810628,0.729376,0.413989,0.54788,0.377464,0.481632,0.330061,0.776476,0.626414,0.789533,0.638474,0.365579,0.410223,0.660875,0.768469,0.685466,0.59963,0.558508,0.336661,0.060927,0.423054,0.572866,0.386078,0.78727,0.521386,0.521709,0.66905,0.727418,0.430903,0.613283,0.688301,0.502016,0.50031,0.498926,0.599714,0.501074,0.497988,0.63114,0.354628,0.890514,-1
0.615431,0.675838,0.6616,0.653348,0.613175,0.57418,0.610569,0.569398,0.548543,0.512107,0.195466,0.36544,0.74006,0.364937,0.743669,0.492385,0.448949,0.450136,0.562115,0.518206,0.488289,0.552175,0.445066,0.451412,0.267671,0.469366,0.454647,0.342654,0.847406,0.117319,0.145709,0.470022,0.23847,0.564103,0.705243,0.359648,0.543754,0.528667,0.529179,0.427972,0.484859,0.416256,0.752408,0.093682,0.341779,0.152991,0.166445,0.279104,0.625995,0.387791,0.407493,0.839301,0.538168,0.740295,0.533501,0.632325,0.580067,0.49148,0.347905,0.460542,0.605386,0.592675,0.483466,0.797054,0.566401,0.875864,0.502908,0.473531,0.487713,0.457852,0.477133,0.386992,0.36012,0.256542,0.440585,0.362346,0.276549,0.737242,0.471833,0.404395,0.464704,0.490052,0.525663,0.331993,0.312005,0.320217,0.548078,0.743973,0.43428,0.354073,0.505968,0.645927,0.654455,0.440852,0.56399,0.679654,1
0.884582,0.265111,0.220982,0.695857,0.704688,0.660623,0.3479,0.413059,0.408195,0.586144,0.316616,0.492097,0.504047,0.491742,0.508245,0.584843,0.373302,0.373207,0.683535,0.47866,0.395787,0.463468,0.863242,0.861506,0.234098,0.747891,0.283405,0.766743,0.29062,0.668536,0.654733,0.209499,0.488132,0.470584,0.562309,0.542401,0.567931,0.667712,0.757877,0.377107,0.230115,0.02651,0.884968,0.54192,0,0.359357,0.555814,0.426794,0.95415,0.266648,0.156197,0.791342,0.791585,0.936424,0,1,0.486562,0.229999,0.536711,0.730654,0.670728,0.646126,0.621253,0.659225,0.550636,0.824094,0.269933,0.639993,0.441894,0.643238,0.290466,0.396843,0.210658,0.204112,0.486384,0.275476,0.378524,0.787956,0.523021,0.394957,0.496529,0.499836,0.290067,0.432712,0.598747,0.692768,0.512208,1,0.32815,0.550917,0.56586,0.449082,0.406335,0.306117,0.667279,0.276691,1
0.492396,0.395821,0.395702,0.724816,0.670268,0.622893,0.459028,0.601832,0.583356,0.572989,0.330458,0.434077,0.525347,0.4333,0.52939,0.507736,0.52258,0.522383,0.636055,0.364082,0.333049,0.454587,0.39078,0.408882,0.203806,0.429087,0.227978,0.655014,0.538636,0.381694,0.239573,0.27759,0.348052,0.447289,0.566253,0.65294,0.804878,0.791676,0.51577,0.333367,0.364876,0.412154,0.465508,0.398792,0.356451,0.213325,0.28628,0.434001,0.384282,0.397226,0.412975,0.754308,0.493661,0.694869,0.59977,0.715735,0.538244,0.61805,0.519485,0.537666,0.620891,0.720619,0.51249,0.668768,0.59615,0.801261,0.577571,0.51182,0.372883,0.470809,0.407568,0.286036,0.394046,0.271106,0.311001,0.181445,0.370864,0.811579,0.564443,0.924954,0.627696,0.261915,0.574685,0.228453,0.229164,0.346711,0.573382,0.485376,0.501551,0.425636,0.522556,0.574364,0.293124,0.338007,0.655384,0.758361,1
0.50819,0.620963,0.613952,0.719394,0.699205,0.614597,0.41103,0.422029,0.401568,0.499469,0.124359,0.504509,0.543975,0.504247,0.549877,0.307206,0.501818,0.503106,0.427953,0.343534,0.384284,0.179904,0.533916,0.577588,0.249078,0.423457,0.232613,0.613845,0.679319,0.201535,0,0.465922,0.220069,0.460141,0.618805,0.62887,0.720869,1,0.515022,0.158874,0.192201,0.371983,0.480821,0.728653,0.313541,0.195936,0.124062,0.260017,0.450223,0.529559,0.407529,0.789773,0.866708,0.63176,0.764866,0.46493,0.861001,0.94202,0.418269,0.83762,0.614816,0.713495,0.523303,0.873804,0.647663,0.97462,0.484872,0.26956,0,0.366947,0.596238,0.592913,0.409205,0.322503,0.101249,0.480745,0,0.653211,0.237961,0.574221,0.496675,0.731649,0.581906,0.410556,0.586954,0.588647,0.604723,0.756099,0.441772,0.302018,0.816172,0.697981,0.424475,0.565412,0.450173,0.798967,1
0.366161,0.532811,0.557622,0.583958,0.759527,0.663386,0.334247,0.641554,0.609787,0.723925,0.513965,0.366818,0.448815,0.366396,0.453104,0.682115,0.510929,0.512413,0.740493,0.4875,0.416038,0.595213,0.523412,0.539878,0.283228,0.398376,0.34145,0.529092,0.571777,0.385487,0.557876,0.376344,0.402701,0.435423,0.43216,0.461494,0.662113,0.525624,0.510483,0.467291,0.613811,0.13068,0.708561,0.432411,0.323372,0.091277,0.157115,0.239086,0.357177,0.561754,0.283303,0.519024,0.70995,0.777467,0.710784,0.590908,0.756027,0.912499,0.655652,0.618175,0.476543,0.51324,0.291488,0.624642,0.428361,0.607997,0.537001,0.346873,0.19745,0.370273,0.295611,0.300907,0.38514,0.148546,0.319779,0.117404,0.386194,0.7503,1,0.591846,0.557931,0.548015,0.422222,0,0.128719,0.364516,0.527673,0.707883,0.53795,0.718765,0.395475,0.281236,0.449226,0.268809,0.734336,0.395773,1
0.642283,0.458588,0.429332,0.638446,0.288589,0.19994,0.615877,0.641032,0.630268,0.524237,0.467198,0.521669,0.477032,0.520405,0.480229,0.495549,0.571316,0.571132,0.512477,0.584099,0.554889,0.133524,0.794948,0.847146,0.087946,0.492625,0.251874,0.52721,0.543187,0.465091,0.315622,0.125941,0.250059,0.676627,0.669931,0.2458,0.625582,0.36123,0.29836,0.474274,0.813576,0.329122,0.872865,0.526372,0.132093,0.095203,0.30996,0.342679,0.277165,0.271836,0.072027,0.831417,0.500143,0.569311,0.702783,0.454336,0.694865,0.777959,0.16181,0.648911,0.347299,0.232867,0.216624,0.803273,0.503959,0.737644,0.591695,0.61855,0.412681,0.551359,0.330129,0,0.177519,0.188996,0.197929,0.438421,0.343388,0.982931,0.815897,0.555198,0.285349,0.165424,0.433126,0.151793,0.397625,0.590332,0.926209,0.744273,0.364236,0.414879,0.529897,0.585121,0.461898,0.568323,0.424867,0.759477,1
0.627764,0.482575,0.470968,0.659963,0.448163,0.460423,0.567617,0.59647,0.58718,0.658654,0.420007,0.335806,0.479185,0.335129,0.481527,0.553763,0.497282,0.497096,0.504342,0.503878,0.473674,0.144304,0.578757,0.615477,0.208919,0.415528,0.160504,0.57182,0.689705,0.199257,0.366474,0.285215,0.348262,0.355146,0.456074,0.290228,0.565572,0.310832,0.44994,0.545281,0.743709,0.16876,0.661394,0.373173,0.230239,0,0.278992,0.341167,0.358612,0.230781,0.424599,1,0.469769,0.857235,0.51899,0.681842,0.738154,0.636156,0.378708,0.586098,0.433351,0.753352,0.401321,0.571886,0.664815,0.63083,0.470225,0.597877,0.60783,0.402347,0.226221,0.075434,0.356962,0.327252,0.352429,0.000378,0.383843,0.833771,0.661694,0.452288,0.308595,0,0.638201,0.159769,0.389752,0.503883,0.720633,0.451462,0.458585,0.512773,0.576734,0.487226,0.507126,0.504149,0.49539,0.728928,1
