@relation WekaExcel

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute x55 numeric
@attribute x56 numeric
@attribute x57 numeric
@attribute x58 numeric
@attribute x59 numeric
@attribute x60 numeric
@attribute x61 numeric
@attribute x62 numeric
@attribute x63 numeric
@attribute x64 numeric
@attribute x65 numeric
@attribute x66 numeric
@attribute x67 numeric
@attribute x68 numeric
@attribute x69 numeric
@attribute x70 numeric
@attribute x71 numeric
@attribute x72 numeric
@attribute x73 numeric
@attribute x74 numeric
@attribute x75 numeric
@attribute x76 numeric
@attribute x77 numeric
@attribute x78 numeric
@attribute x79 numeric
@attribute x80 numeric
@attribute x81 numeric
@attribute x82 numeric
@attribute x83 numeric
@attribute x84 numeric
@attribute x85 numeric
@attribute x86 numeric
@attribute x87 numeric
@attribute x88 numeric
@attribute x89 numeric
@attribute x90 numeric
@attribute x91 numeric
@attribute x92 numeric
@attribute x93 numeric
@attribute x94 numeric
@attribute x95 numeric
@attribute x96 numeric
@attribute y {-1,1}

@data
0.541845,0.31011,0.255365,-0.831535,1.036133,1.044468,0.326473,0.580682,0.512489,-0.678913,-0.651816,0.482432,2.033248,0.483739,2.032239,0.452177,-0.522638,-0.538816,0.769768,0.271273,0.140365,-0.693875,0.654314,0.67955,0.461098,0.082753,0.449068,-0.45635,0.738765,-0.777329,-1.566692,0.505742,-0.110771,0.77223,0.942508,0.254783,-0.59997,0.356124,0.826826,-0.081894,-1.243345,0.294935,0.153049,-0.922647,-1.600838,-1.387739,-1.276826,-0.055605,-0.780079,-0.634386,0.439049,2.249794,0.768825,-0.224109,-0.200787,-0.504595,-1.510479,-1.171422,0.655504,-1.050479,1.301465,1.360087,0.357911,-0.274321,-0.073112,0.105634,0.237224,0.153255,-0.100624,-1.142373,-1.028593,-1.206163,-0.222041,0.399496,0.646442,-0.767454,-0.809652,0.482194,0.275111,-0.015503,-0.187381,-0.622685,-0.145059,-0.053829,0.002097,-0.530082,-0.181066,-0.258605,-0.362728,-1.056347,-0.684028,1.056349,0.224509,-1.05724,1.168482,0.460259,1
-0.138413,-0.879241,-0.9024,0.761339,-0.026102,-0.160991,0.3363,-0.072968,-0.092836,-0.299303,-1.02302,-0.212989,0.69171,-0.211784,0.70705,-1.562173,0.717933,0.766017,-0.227069,0.686429,0.588288,1.218099,-0.271895,-0.398584,-1.511366,0.521334,-0.757797,0.373852,-0.3727,0.522069,-0.598282,-0.767838,-0.699458,1.032226,1.130354,-1.597727,0.253664,0.210167,-1.539061,-0.953461,0.433277,-0.309769,0.146548,0.243064,-2.125048,-1.08118,-2.172061,-0.389275,-1.099792,0.009802,-0.62384,1.46764,1.214039,0.898311,0.47896,-0.241029,2.700086,1.929578,-0.873275,2.608098,0.374463,-0.852512,-0.098221,1.003079,-0.174615,0.453815,0.071917,0.514987,0.401308,0.317009,-0.399208,-1.06744,-0.762954,-0.471946,-0.914647,-0.447022,-2.203892,0.782851,0.471554,0.663227,-0.658749,-0.3396,-0.395693,-0.228317,0.057207,0.057952,0.010087,-0.014303,-1.339824,-1.397984,1.83085,1.39799,-1.284933,0.591571,-0.667538,-1.452986,1
2.351094,0.289088,0.028939,1.146558,-0.766868,-1.279259,0.306192,-1.784613,-1.84503,0.246497,-1.618769,-1.038735,-0.69253,-1.041659,-0.673253,-1.007137,0.891531,0.873661,-0.271626,1.112051,1.227838,-0.095986,0.724472,0.784928,-0.205092,1.125097,-1.182484,0.848955,-0.793814,0.833989,0.341931,0.588105,-0.434621,0.025786,0.09582,0.009246,-0.369407,0.357547,0.488677,-0.20161,-0.920452,-0.878449,0.037067,1.681153,1.112007,0.271714,-0.726958,0.295832,-0.773069,0.610988,0.860498,-0.056325,0.219118,0.677053,0.243891,0.856191,1.693193,1.148699,-0.501314,0.659427,-1.056318,-0.303715,-0.135834,0.479252,0.230941,0.21475,1.732308,-0.713004,-0.359891,0.194896,0.725051,0.946823,0.588328,0.559827,-0.470212,-1.55516,-0.336011,-0.109788,-0.364433,0.646077,0.04134,0.138303,0.184104,0.528852,0.110581,0.360948,0.121436,-0.229742,-0.147974,-0.679875,0.831522,0.679874,0.274045,0.832842,-0.96513,1.682751,-1
0.963365,1.071934,0.917378,-0.32788,0.644227,0.729829,0.641242,0.719562,0.635355,-0.311271,-1.510694,-0.891599,1.848588,-0.893028,1.853205,-0.36705,-1.000212,-0.985448,-0.357205,1.108268,1.174856,0.236336,0.070761,0.040014,-1.119184,-0.387447,0.144227,-0.619695,1.143754,-1.37307,-1.424325,0.141441,-1.056898,0.705735,1.293615,-0.835714,-0.805102,-0.137927,0.202272,-0.214845,-0.632479,-0.270726,1.063945,-2.980293,-0.605765,-1.292435,-2.174712,-0.80706,0.396801,-1.216676,-0.123493,2.136329,-0.518086,0.367448,-0.20638,0.040884,0.071721,-0.502803,-0.906106,-0.01105,0.693025,0.378097,0.254286,0.611431,0.118293,0.564748,0.730808,-0.157985,-0.087844,-0.479985,-0.125262,-0.298179,-0.380905,-0.829099,-0.146553,0.148682,-1.159887,0.630616,-0.129449,-0.396257,-0.097157,0.048917,-0.078555,-0.29134,-0.079723,-0.418766,-0.052485,1.29467,-0.601556,-1.806479,0.204577,1.806477,1.214336,-0.315434,0.427382,0.098928,1
2.966182,-1.951328,-2.279081,-0.05093,1.215284,1.213423,-1.144402,-0.339292,-0.338831,0.167146,-0.876425,0.118783,-0.179508,0.121554,-0.167897,0.158246,-1.798129,-1.795153,0.648293,0.79448,0.345587,-0.523184,2.75753,2.612024,-1.467503,1.653919,-0.906483,0.962371,-1.25498,1.441274,0.851767,-2.023916,0.507515,0.240938,0.432579,0.500786,-0.651452,0.627458,1.250783,-0.486828,-2.336986,-1.945104,1.89577,0.064048,-3.25737,-0.040697,0.741272,-0.050345,2.623078,-2.072646,-1.339371,1.841935,1.725269,1.322889,-3.943528,3.010601,-0.585879,-2.318038,0.250414,2.062535,1.194539,0.706291,0.604686,-0.273887,0.088701,0.354862,-0.990317,0.697846,-0.248703,0.136268,-0.670084,-0.257089,-0.985738,-1.070258,-0.003917,-0.342372,-0.586428,0.859048,0.010814,-0.421951,-0.019396,0.076543,-0.510126,-0.082427,0.379226,0.57242,-0.096975,2.907733,-1.330608,-0.275516,0.605119,0.275509,-0.276742,-1.128479,1.114378,-2.927831,1
0.047829,-0.989199,-1.011576,0.137736,1.000498,1.002348,-0.388943,0.939227,0.877003,0.082143,-0.803956,-0.344058,0.003523,-0.346049,0.013634,-0.279834,-0.223562,-0.225033,0.255099,-0.114661,-0.216859,-0.599225,-0.278025,-0.226722,-1.781789,-0.682658,-1.246569,0.545566,-0.186482,-0.023251,-1.004613,-1.457975,-0.370245,0.125162,0.456337,1.309169,0.854437,1.309831,0.140797,-0.720714,-1.435294,-0.288349,-0.736367,-0.908045,-0.491935,-0.92647,-1.277264,-0.013417,-1.243031,-1.150016,-0.096965,1.614603,-0.912086,0.146154,0.25783,0.71459,-0.222414,0.375856,0.144897,0.581015,0.812035,1.16369,0.328094,-0.212588,0.174134,0.262297,1.282388,0.038871,-0.490981,-0.436914,-0.328301,-0.719291,-0.243616,-0.762108,-0.550126,-0.873903,-0.629505,0.965452,0.124319,1.020906,0.301094,-0.595249,0.011245,-0.506102,-0.212314,-0.348278,-0.0211,-0.334577,-0.139453,-1.249896,0.315513,1.249893,-0.957084,-0.936041,1.035264,0.690113,1
0.16536,0.668013,0.571715,0.102412,1.181073,0.955938,-0.71524,-0.27854,-0.384832,-0.392938,-1.882973,0.217798,0.163601,0.221609,0.189507,-1.419133,-0.442559,-0.42793,-1.468229,-0.277704,0.242458,-2.9511,0.641622,0.831358,-1.312092,-0.723924,-1.218134,0.391984,0.419607,-0.943093,-2.07586,0.107369,-1.172202,0.189036,0.77291,1.133144,0.320528,2.456569,0.137369,-1.653761,-2.590675,-0.460928,-0.640275,1.332305,-0.824838,-1.031946,-2.492118,-0.904856,-0.795676,-0.214984,-0.123316,1.832304,2.390293,-0.16128,1.414318,-1.311169,2.047455,2.624894,-0.475095,2.883686,0.765402,1.119946,0.355594,1.104426,0.270828,0.965119,0.597564,-1.206664,-1.800077,-0.78217,0.222366,0.560764,-0.182273,-0.525702,-1.203377,0.81796,-2.715059,0.252112,-0.770301,0.066076,-0.019039,0.731088,0.024473,-0.128383,0.36035,0.295401,0.017772,1.371072,-0.550091,-2.211332,2.279143,2.211329,-0.167731,0.436216,-0.329636,0.995114,1
-0.891517,0.01915,0.163068,-0.779958,1.557491,1.228881,-1.237212,1.208259,1.060467,1.057477,0.156778,-0.880603,-0.654125,-0.881357,-0.641279,0.710891,-0.346448,-0.329968,1.119968,0.864622,0.527129,0.604838,0.574134,0.594853,-0.957781,-0.907743,-0.550328,0.075812,-0.043705,-0.003889,0.418672,-0.637169,-0.027804,0.066187,-0.351441,-0.0909,-0.052888,-0.15468,0.116557,-0.004599,0.230344,-1.497583,0.788806,-0.67971,-0.748572,-1.666772,-2.244587,-1.0121,-1.426917,0.012499,-0.72438,0.170325,1.002608,0.548533,1.035478,-0.293641,1.309199,2.419957,0.978979,1.199065,-0.295867,-0.109641,-0.233926,-0.496026,-0.140819,-0.521227,0.982674,-0.809175,-1.10688,-0.771112,-0.655066,-0.657262,-0.279657,-1.32584,-0.522788,-1.235911,-0.543298,0.689433,1.317823,0.114058,0.130632,0.212579,-0.268041,-0.97996,-0.373083,-0.300908,-0.077794,1.067291,0.11059,1.029925,-0.534373,-1.02992,-0.018991,-1.353605,1.560392,-2.033381,1
1.163177,-0.527188,-0.767605,-0.424971,-1.381266,-1.363812,0.677323,1.20472,1.202625,-0.23289,-0.088065,0.354691,-0.411654,0.350894,-0.408416,-0.349072,0.290498,0.28806,-0.768266,1.631113,1.771923,-3.348217,2.318743,2.521963,-2.983836,-0.216977,-1.099949,0.068793,-0.166874,0.402545,-0.664561,-2.718417,-0.984279,1.264983,1.080893,-1.668303,-0.28506,-1.0596,-0.855959,0.03274,1.566983,-0.64506,1.819822,-0.041548,-2.232559,-1.642957,-1.099928,-0.481324,-1.969733,-2.03599,-1.746626,2.087933,-0.854704,-0.4655,0.979432,-1.396734,0.879066,1.485963,-2.046018,1.435019,-1.287843,-1.831158,-0.424309,0.651381,0.001085,0.004382,1.386728,0.587603,-0.351262,-0.169153,-0.55432,-1.912412,-1.119843,-1.139784,-0.902279,0.57871,-0.784017,1.737279,0.813349,0.014287,-0.535387,-0.8677,-0.248067,-0.665111,0.057317,0.299886,0.416517,1.29656,-1.082718,-1.333559,0.364604,1.333552,0.057163,0.45378,-0.497956,0.698494,1
1.055136,-0.350623,-0.465561,-0.284783,-0.385486,0.093428,0.349247,0.902915,0.903544,0.635705,-0.335134,-1.128001,-0.393147,-1.131527,-0.397272,-0.018333,-0.490398,-0.491187,-0.835633,0.994579,1.043836,-3.255919,0.929721,1.068992,-1.728739,-0.782038,-1.660582,0.235212,0.464351,-0.95472,-0.437177,-1.3946,-0.368928,-0.332794,-0.207385,-1.343398,-0.666441,-1.33702,-0.161011,0.412426,1.099501,-1.333986,0.492828,-1.082047,-1.471119,-2.220422,-1.33185,-0.489071,-1.417183,-2.326071,-0.040725,3.122775,-1.123582,0.937122,-0.308032,0.440834,1.183506,0.50155,-0.717426,0.952814,-0.627378,1.364671,0.045385,-0.834899,0.303024,-0.42866,0.489357,0.481317,0.333856,-0.664494,-0.857593,-1.597758,-0.393688,-0.503859,-0.421104,-1.897426,-0.556514,1.065413,0.390803,-0.265875,-0.47859,-1.334791,0.127594,-0.648567,0.044717,0.069883,0.161538,-0.548253,-0.4346,-0.572184,0.677842,0.572174,0.328964,0.06653,-0.028891,0.469032,1
